opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,distrito,categoria_nombre,partido_orden,categoria_slug,distrito_nro,categoria_prioridad,extranjeros
133-501,4,UNIDAD,UNIDAD,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,501,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,16,JG1,1,20000,0
135-503,5,Juntos Somos el Cambio,Juntos Somos el Cambio,ALIANZA JUNTOS POR EL CAMBIO,ALIANZA JUNTOS POR EL CAMBIO,503,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,17,JG1,1,20000,0
136-502,6,celeste y blanca,celeste y blanca,ALIANZA frente de todos,ALIANZA frente de todos,502,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,18,JG1,1,20000,0
137-504,7,504 -A - CONSENSO PARA EL FUTURO,504 -A - CONSENSO PARA EL FUTURO,ALIANZA CONSENSO FEDERAL,ALIANZA CONSENSO FEDERAL,504,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,19,JG1,1,20000,0
187,8,QUE LOS PUEBLOS MANDEN,QUE LOS PUEBLOS MANDEN,Autodeterminación y Libertad,Autodeterminación y Libertad,187,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,20,JG1,1,20000,0
5,1,CIUDAD CELESTE POR LA VIDA Y LA FAMILIA,CIUDAD CELESTE POR LA VIDA Y LA FAMILIA,Partido Democrata Cristiano,Partido Democrata Cristiano,5,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,21,SN1,1,20000,0
13,2,Lista 1A Unidad de la izquierda,Lista 1A Unidad de la izquierda,Movimiento al Socialismo,Movimiento al Socialismo,13,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,22,SN1,1,20000,0
86,3,Lista -A- Nueva Corriente,Lista -A- Nueva Corriente,Frente Renovador Autentico,Frente Renovador Autentico,333,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,23,SN1,1,20000,0
87,4,ola celeste,ola celeste,Unite por la Libertad y la Dignidad,Unite por la Libertad y la Dignidad,179,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,24,SN1,1,20000,0
88,5,LIBERACION,LIBERACION,Dignidad Popular,Dignidad Popular,342,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,25,SN1,1,20000,0
132-262,6,Lista A - Celeste,Lista A - Celeste,El Movimiento,El Movimiento,262,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,26,SN1,1,20000,0
133-501,7,unidad,unidad,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,501,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,27,SN1,1,20000,0
135-503,8,Lista A - Juntos somos el cambio,Lista A - Juntos somos el cambio,Juntos por el Cambio,Juntos por el Cambio,135,#FFCD00,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,28,SN1,1,20000,0
136-502,9,Lista A - Celeste y Blanca,Lista A - Celeste y Blanca,Frente de Todos,Frente de Todos,136,#00A8E4,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,29,SN1,1,20000,0
