DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
MALVINAS ARGENTINAS,JARDIN DE INFANTES N° 904,GUAYAQUIL 373 E CANGALLO Y PABLO  NOGUEZ,9005,9007,0399A
MALVINAS ARGENTINAS,ESCUELA ESPECIAL 19,LOS CALDENES 1299 E JUJUY Y MISIONES,9008,9010,0399B
MALVINAS ARGENTINAS,COLEGIO SEÑOR DE MAILING,SAN PEDRO N° 465 E MALABIA Y RAWSON,9011,9012,0399D
MALVINAS ARGENTINAS,JARDIN DE INFANTES NRO 905,CONGRESALES 1386 E RAMOS MEJIA Y MIRALLA,9013,9017,0399F
MAR CHIQUITA,MUNICIPALIDAD MAR CHIQUITA,DR. J.M. BELTRAMI 50,9001,9001,0622A
MARCOS PAZ,JARDIN DE INFANTES 902,VIEYTES 2295 E JOSE C PAZ Y AGUERO,9001,9004,624
MERCEDES,ESCUELA SECUNDARIA,29 NRO 874 E 38 Y 36,9001,9001,638
MERLO,ESCUELA ESPECIAL 1/ ES NRO 25,MAESTRA GONZALEZ 7,9001,9015,652
MERLO,ESCUELA EST NRO 5,MALVINAS NRO 1715,9016,9023,653
MERLO,ESCUELA EP N°70/ESB N°60,MUÑIZ 1709 E/ COLASTINE Y AZURDUY,9024,9028,654
MERLO,ITUZAINGO GOLF CLUB,VICENTE GERDE N° 97 E/ ACEVEDO Y SULIVAN,9029,9030,655
MERLO,CLUB SAN ANTONIO DE PADUA,INDEPENDENCIA 725,9031,9031,655
MERLO,ESCUELA EP N°79,GARCIA VELLOSO 600-698 E/ QUESADA Y BUSTAMANTE,9032,9037,0655A
MONTE,CENTRO EDUCACION COMPLEMENTARIA N°801,RIO PARANA Y COLORADOS DEL MONTE,9001,9001,656
MORENO,COLEGIO SAN JUAN BAUTISTA,PADRE VARUELLO 1718 E/NECOCHEA Y J. BAUTISTA,9001,9010,663
MORENO,ESCUELA EP N°4,ALEM N° 410 E/ ITUZAINGO Y ASEFF,9011,9020,663
MORENO,ESCUELA EP N°12/ES N°45,MANUEL DE FALLA 1400 E/ FURNIER Y RAMALLO,9021,9023,664
MORENO,ESCUELA ES N°31,LOBOS 870 E/ DEL CARRIL Y PIO XII,9024,9036,0663A
MORENO,ESCUELA ES N°5,SAN FERNANDO 8802 E/ RICHIERI Y L.TEJADA,9037,9043,0663D
MORENO,INSTITUTO SEMINARIO FRANCISCANO,BELISARIO ROLDAN N°2616,9044,9045,0664A
MORON,MUNICIPALIDAD MORON,ALMIRANTE BROWN N° 946,9001,9008,665
MORON,INSTITUTO DIOC.PROF.MÑOR.RASPANTI,RASPANTI 8 E/ MAIPU Y CHACABUCO,9009,9011,669
MORON,ESCUELA EP N°11,CRAMER 740 E/ PORTELAY Y BALLESTEROS,9012,9012,670
MORON,ESCUELA ESPECIAL MI FUTURO,AÑO 1852 N° 1007 E/JULIO LOPEZ Y CAROSELLA,9013,9017,671
MORON,INSTITUTO BARRIO MARINA,PALMERO 3878 E/ ISABEL DE PARDO Y PIOVANO,9018,9023,673
NAVARRO,MUNICIPALIDAD NAVARRO,107 N° 80,9001,9001,675
NECOCHEA,MUNICIPALIDAD NECOCHEA,56 N°2951,9001,9003,686
NUEVE DE JULIO,INSTITUTO SUPERIOR EXP.TEC. ALIMENTARIA,H. YRIGOYEN 931,9001,9001,696
OLAVARRIA,ESCUELA EP N°17/ES N°22,ALSINA N° 2417,9001,9002,711
PARTIDO DE LA COSTA,ESCUELA EP N°2,AV. 1 Y 20 N°350 E/45 Y 43,9001,9001,337
PARTIDO DE LA COSTA,POLIDEPORTIVO ALDO OMAR FERRER,CALLE 13 Y 45,9002,9005,0337A
PARTIDO DE LA COSTA,INST. SUP. DE FORM. DOCENTE 89,ENTRE RIOS 555,9006,9008,0337B
PARTIDO DE MONTE HERMOSO,CTRO.EDUC.COMPLEMENTARIO N°801,BAHIA BLANCA N° 224,9001,9001,239
PARTIDO DE PINAMAR,COLEGIO TIERRA DEL SUR,JASON 1868,9001,9002,339
PARTIDO DE PINAMAR,ESCUELA EP N°7,BOULEVARD ANSPACH Y MISIONES. OSTENDE,9003,9007,0339A
PARTIDO DE PINAMAR,JARDIN DE INFANTES N°905,JUNIN 465,9008,9008,0339B
PARTIDO DE VILLA GESELL,ESCUELA EP N°5,SAN CLEMENTE E/ 32 Y 33. MAR AZUL,9001,9004,344
PATAGONES,ESCUELA EP N°21/ES N°6,C.MIGUEL Y P.ROJAS   338,9001,9002,729
PEHUAJO,ESCUELA EP N°2,ARTIGAS N° 555,9001,9001,734
PELLEGRINI,ESCUELA EP N°1,ROCA N°88 E/ UGARTE Y FRANCIA,9001,9001,743
PERGAMINO,MUNICIPALIDAD DE PERGAMINO,FLORIDA 629,9001,9002,748
PILA,ESCUELA ES N°1,17 N°138,9001,9001,765
PRESIDENTE PERON,ESCUELA EP N°7,SANTA ELENA N° 603 E/ GUEMES Y ALBERDI,9001,9003,304
PRESIDENTE PERON,INSTITUTO ROSARIO VERA PEÑALOZA,LARRALDE 132 E/ ORTIZ Y ALONSO,9004,9008,0304A
PRESIDENTE PERON,ESCUELA EP N°7,SANTA ELENA N° 603 E/ GUEMES Y ALBERDI,9009,9011,304
PRESIDENTE PERON,ESCUELA EP. N12,DISCEPOLO 4037,9012,9012,0304C
PUAN,MUNICIPALIDAD PUAN,V.DE ORTUZAR 51,9001,9001,776
PUNTA INDIO,ESCUELA ES N°2,31 Y CIRCUNVALACIÓN 12 N°1900,9001,9001,613
QUILMES,ESCUELA EP N°1/ES N°7,RIVADAVIA 373 E/ MITRE Y SARMIENTO,9001,9002,783
QUILMES,COLEGIO MONSEÑOR DI PASQUO,GARAY 750 E/PRIMERA JUNTA Y SOLIS,9003,9004,784
QUILMES,ESCUELA ES N°67,AV. C. PELLEGRINI N° 1150 E/ URQUIZA Y VELEZ SARFIELD,9005,9008,785
QUILMES,COLEGIO PRIVADO BERNAL,LAVALLE 142 E/ BOEDO Y R. PEÑA,9009,9012,0787A
QUILMES,ESCUELA EP. 21,DARDO ROCHA 802 E CERRITO Y DE PINEDA,9013,9013,787
QUILMES,JARDIN DE INFANTES 941,SAN LUIS 3998 E TROILO Y 389,9014,9016,788
QUILMES,ASOCIACION DE FOMENTO PQUE CALCHAQUI,PALMA DE MALLORCA 384 BIS  N° 4064,9017,9019,788
QUILMES,INSTITUTO RIOS DE VIDA,MARMOL 500 E/ PRINGLES Y BELGRANO,9020,9023,784
QUILMES,INSTITUTO SUPERIOR DE PIERO,LAMADRID 1186 E URQUIZA Y VELEZ,9024,9026,785
QUILMES,JARDIN DE INFANTES 954,CATAMARCA 4749 E 397 Y 398|,9027,9030,0785B
QUILMES,JARDIN DE INFANTES 943,FORMOSA 1555 E/ JL CABEZAS Y FLEMING,9031,9033,0786A
QUILMES,COLEGIO DEL NIÑO JESUS,BOEDO 1083 E CARBONETI Y SMITH,9034,9036,0787A
QUILMES,ESCUELA ES NRO 34,826 NRO 2518 E 898 Y 897,9037,9041,0788A
QUILMES,JARDIN DE INFANTES 908,872 NRO 4857 E 850 Y 849,9042,9043,0788B
QUILMES,JARDIN DE INFANTES 926,833 NRO 1155 E 880 Y 882,9044,9047,0788C
QUILMES,JARDIN DE INFANTES 965,CONCORDIA 4567 E PANAMA Y FRANCIA,9048,9051,0791A
QUILMES,CASA DEL NIÑO SAN VITO,BAHIA BLANCA N° 5379 E SOBRAL Y 401,9052,9053,0791A
QUILMES,ESCUELA ES 50,SAENZ PEÑA 427 E LIBANO Y SAN JUAN,9054,9055,0791A
QUILMES,INSTITUTO SUPERIOR DE PIERO,LAMADRID 1186 E URQUIZA Y VELEZ,9056,9056,785
QUILMES,JARDIN DE INFANTES 970,R DE CUBA 2555 E LATORRE Y CANE,9057,9059,0791B
RAMALLO,ESCUELA  EP N°26,SANTA FE Y SAN FCO. JAVIER,9001,9001,797
RAUCH,MUNICIPALIDAD DE RAUCH,RIVADAVIA 750,9001,9001,806
RIVADAVIA,ESCUELA EP N°9,SAN MARTIN N° 711,9001,9001,815
ROJAS,MUNICIPALIDAD DE ROJAS,BAME. MITRE N° 428,9001,9001,823
ROQUE PEREZ,ESCUELA ES N°1,9 DE JULIO 1537,9001,9001,832
SAAVEDRA,ESCUELA EP N°5,LUCIO VICENTE LOPEZ 429,9001,9001,840
SALADILLO,ESCUELA EP N°1,SAN MARTIN N° 3100,9001,9001,846
SALLIQUELO,ESCUELA ES N°1/EP N°7,INGLATERRA 35,9001,9001,746
SALTO,MUNICIPALIDAD SALTO,BUENOS AIRES 369,9001,9001,854
SAN ANDRES DE GILES,COLEGIO SAGRADA FAMILIA,RIVADAVIA 464,9001,9001,860
SAN ANTONIO DE ARECO,ESCUELA  MUNICIPAL BELGRANO,SARMIENTO Y GUIDO,9001,9001,866
SAN CAYETANO,ESCUELA EP N°19,SARMIENTO N° 1125,9001,9001,871
SAN FERNANDO,INSTITUTO CRUZ ROJA ARGENTINA,TRES DE FEBRERO N° 1275,9001,9003,872
SAN FERNANDO,JARDIN DE INFANTES N°901,LIBERTADOR 550,9004,9005,872
SAN FERNANDO,ESCUELA DE EDUC. ESPECIAL N°503,LAVALLE 600,9006,9010,872
SAN FERNANDO,JARDIN DE INFANTES N°910,HUMAITA 3991,9011,9012,0878A
SAN FERNANDO,JARDIN DE INFANTES N°913,J.INGENIEROS 2225,9013,9014,0879A
SAN ISIDRO,INSTITUTO LABARDEN,L.N.ALEM 402,9001,9006,887
SAN ISIDRO,JARDIN DE INFANTES MUNICIPAL N°11,ARAMBURU N° 583,9007,9008,891
SAN ISIDRO,COLEGIO PORTAL DE LOS NARANJOS (EP),CASTELLI 1534,9009,9013,891
SAN ISIDRO,ESCUELA DEL NORTE,BLANCO ENCALADA N° 2250,9014,9022,892
SAN ISIDRO,ESCUELA EP N°11,FRANCIA 98,9023,9028,888
SAN ISIDRO,CLUB ATLETICO SAN ISIDRO,SAENZ PEÑA 499,9029,9030,894
SAN MIGUEL,COLEGIO MARIA TERESA,JUAN P.PRINGLES 1511,9001,9007,397
SAN MIGUEL,INSTITUTO LUIGI PIRANDELLO,SERRANO N° 1557,9008,9010,397
SAN MIGUEL,ESCUELA VICENTE CHAS,AZCUENAGA N° 2925,9011,9011,400
SAN MIGUEL,ESCUELA ES N°8,RAIGADA Y ZALAZAR 272,9012,9020,401
SAN NICOLAS,ESCUELA  DE LA PAZ,MAIPU 87,9001,9003,901
SAN PEDRO,ESCUELA  EP N° 11,FRAY CAYETANO RODRIGUEZ 1402,9001,9001,913
SAN VICENTE,MUNICIPALIDAD,AV. SARMIENTO NRO 39 E 9 DE JULIO Y PERO,9001,9002,924
SAN VICENTE,ESCUELA EP. 12 /ES NRO 1 (EX ES N° 301),ESMERALDA 105 E URUGUAY Y BOLIVIA,9003,9005,925
SUIPACHA,ESCUELA ES N°1,JUJUY 400,9001,9001,929
TANDIL,MUNICIPALIDAD DE TANDIL,GRAL. BELGRANO 485,9001,9003,933
TAPALQUE,ESCUELA EP N°28,AV.9 DE JULIO N° 214,9001,9001,944
TIGRE,C.E.N.S.N°452,IRALA  1755,9001,9003,530
TIGRE,COLEGIO A DESCUBRIR,TUCUMAN 3049,9004,9006,530
TIGRE,INSTITUTO CARD. PIRONIO EP- ES,AV.DE LOS COLEGIOS N° 290,9007,9010,534
TIGRE,SAN LUCAS,ACCESO SUR Y AV. AGUSTIN M. GARCIA,9011,9015,534
TIGRE,COLEGIO DEL NORTE,AV. COLEGIO 680,9016,9020,534
TIGRE,ESCUELA ESPECIAL NTRA.SRA.DE LUJAN,FREIRE 1149,9021,9022,536
TIGRE,ESCUELA EP N°28,BELGRANO Y LAPRIDA,9023,9028,0534A
TIGRE,ESCUELA EP N°16/ES N°16,9 DE JULIO 24,9029,9029,0536A
TORDILLO,MUNICIPALIDAD DE TORDILLO,EVA DUARTE 110,9001,9001,951
TORNQUIST,ESCUELA EP N°1,AMEGHINO N° 48,9001,9001,953
TRENQUE LAUQUEN,MUNICIPALIDAD TRENQUE LAUQUEN,VILLEGAS N° 555,9001,9001,957
TRES ARROYOS,ESCUELA EP N°54,BELGRANO N° 50,9001,9002,964
TRES DE FEBRERO,JARDIN DE INFANTES N°919 (LOS NARANJOS),RAFFO 2741,9001,9002,389
TRES DE FEBRERO,JARDIN DE INFANTES MUNICIPAL ALADINO,ASUNCION N° 2463,9003,9003,392
TRES DE FEBRERO,CLUB ATLETICO ESTUDIANTES,J J URQUIZA 4300,9004,9007,391
TRES DE FEBRERO,ASOCIACIÓN SOCIAL Y DEPORTIVA J.JOSE DE URQUIZA,BELGRANO N° 4905,9008,9009,391
TRES DE FEBRERO,CLUB ATLETICO NUEVE DE JULIO,MAGDALENA 3043,9010,9012,391
TRES DE FEBRERO,ESCUELA EP N°26/ES N°28,BARRAGAN N° 773,9013,9013,392
TRES DE FEBRERO,CLUB ATLETICO Y SOCIAL CIUDADELA NORTE,25 DE MAYO 434,9014,9018,393
TRES DE FEBRERO,JARDIN DE INFANTES MUNICIPAL EL OSITO MIMOSO,ASUNCION N° 4703,9019,9021,393
TRES DE FEBRERO,JARDIN DE INFANTES N°913,NECOCHEA Y RICHIERI 3100,9022,9026,393
TRES DE FEBRERO,ESCUELA EP N°17,AVIADOR MATIENZO N° 559,9027,9039,0394A
TRES LOMAS,ESCUELA EST N°1,MORENO 153,9001,9001,744
VEINTICINCO DE MAYO,MUNICIPALIDAD 25 DE MAYO,9 Y 27 N° 790,9001,9001,980
VICENTE LOPEZ,COLEGIO SAN LUCAS,CORRIENTES 636,9001,9006,0993A
VICENTE LOPEZ,ESCUELA ES N°7,ARENALES N° 1945,9007,9009,995
VICENTE LOPEZ,ESCUELA  ESB. N° 17,MALAVER 4416,9010,9013,999
VICENTE LOPEZ,ESCUELA  EP N°18,DRYSDALE 5615,9014,9019,1000
VICENTE LOPEZ,ESCUELA  ES. N° 5,CABRAL 2728,9020,9027,1000A
VILLARINO,ESCUELA EP N°55,CURMELATO Y 9 DE JULIO. MEDANOS,9001,9001,1007
VILLARINO,CENTRO DE FORMACION PROFESIONAL 401,LUIS MARIA GALLI Y SARMIENTO,9002,9002,1010
VILLARINO,ESCUELA EP N°33,12 N° 380,9003,9006,1011
VILLARINO,ESCUELA ESPECIAL 502,AMELIA DEHENEN 638,9007,9007,1011A
ZARATE,INSTITUTO JOSE MANUEL ESTRADA,BELGRANO N° 599,9001,9003,1013
