DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
CASTELLI,MUNICIPALIDAD,AV 25 DE MAYO N° 205 E SAN MARTIN Y SARM,9001,9001,185
CHACABUCO,ESCUELA EP N°50,BUENOS AIRES 479,9001,9002,189
CHASCOMUS,ESCUELA EP. N° 3,SAN LORENZO Y JULIAN QUINTANA,9001,9001,201
CHIVILCOY,MUNICIPALIDAD CHIVILCOY,25 DE MAYO N°27,9001,9002,211
COLON,MUNICIPALIDAD DE COLON,51 N°800,9001,9001,230
CORONEL DORREGO,ESCUELA EP N°7,SARMIENTO N° 169,9001,9001,232
CORONEL PRINGLES,CENTRO DE FORMACIÓN PROFESIONAL N° 401,RIVADAVIA 405,9001,9001,240
CORONEL ROSALES,ESCUELA EP N°23/ES N°9,PASO 702,9001,9001,248
CORONEL SUAREZ,MUNICIPALIDAD CNEL.SUAREZ,ALSINA N° 150,9001,9001,252
DAIREAUX,ESCUELA EP N°1,PELLEGRINI 360,9001,9001,179
DEL PILAR,COLEGIO NTRA. SRA.DE LUJAN,MARIA CABEZAS 1143,9001,9009,0768A
DEL PILAR,ESCUELA ES N°2,H.YRIGOYEN 775,9010,9024,0770D
DEL PILAR,INSTITUTO M. BELGRANO- EP,DORREGO 942,9025,9027,0770E
DOLORES,MUNICIPALIDAD,CASTELLI NRO 31 E SAN MARTIN Y BELGRANO,9001,9001,282
ENSENADA,CENTRO DE FORMACIÓN PROFESIONAL N° 404,CAMINO RIVADAVIA E/ 127 Y 128,9001,9002,490
ENSENADA,CTRO EDUC COMPLEMENTARIO 801,ECUADOR Y SAN MARTIN,9003,9004,491
ENSENADA,ESCUELA EP. 6 A,AV. ALTE BROWN Y COLUMNA N° 196,9005,9005,0491A
ESCOBAR,ESCUELA ES N°3,SOBERANIA NACIONAL N° 1184 E/ PARAVI Y RAMON CASTILLO,9001,9005,774
ESCOBAR,ESCUELA ES N°6,TAPIA CRUZ N° 1956 E/ M. CANE Y GILBON,9006,9009,774
ESCOBAR,ESCUELA EP N°34,COLOMBRES 385 E/ E. LAMARCA Y VICTOR SERRA,9010,9011,775
ESCOBAR,ESCUELA ES N°8,SALTA 891 E/ ISLAS MALVINAS Y EVA PERON,9012,9017,0773A
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES 929,BENAVIDEZ N° 3701,9001,9003,0288B
ESTEBAN ECHEVERRIA,INSTITUTO J HAITI,AMEGHINO N° 537,9004,9006,288
