Establecimiento,Direccion,Seccion,Circuito,Mesas,Mesa desde,Mesa Hasta,electores,ID,obs,Nombre Seccion,Nombre Circuito,Ciudad,Barrio,Latitud,Longitud
I.P.E.M. N° 23,SPILIMBERGO 869,3,40,9,3864,3872,3118,3-40,,Colón,UNQUILLO,UNQUILLO,,,
ESC.PROV. D.V.SARSFIELD,SARMIENTO Y VELEZ SARSFIELD,3,40,9,3855,3863,3116,3-40,,Colón,UNQUILLO,UNQUILLO,,,
INST GRAL S.MARTIN/17 DE AGOST,25 DE MAYO ESQ. TABLADA,3,41,27,3977,4003,9314,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
ESC.PROV. J.DE SAN MARTIN,GOYCOECHEA 150,3,41,13,3944,3956,4502,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
COLEGIO SAN JOSE,JUSTO JOSE DE URQUIZA 465,3,41,12,3957,3968,4165,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
COLEGIO MARYLAND,GUEMES ESQ ALBERTI,3,41,10,3934,3943,3459,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
INSTITUTO NTA.SRA. DE LUJAN,AV.SAN MARTIN 1070,3,41,10,4004,4013,3442,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
IPEM 130 RAUL DEL LLANO,DERQUI 635,3,41,9,4014,4022,3119,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
INSTITUTO PAULA A.DE SARMIENTO,LAPRIDA/GONZALEZ 72,3,41,8,3969,3976,2770,3-41,,Colón,VILLA ALLENDE,VILLA ALLENDE,,,
ESC.TTE. J.R. IBARZABAL,JOSE HERNANDEZ 99,3,28A,15,3464,3478,5146,3-28A,,Colón,CALERA CENTRAL,La Calera,,,
CENTRO EDUCATIVO GRAL SAN MART,JUAN RAMON GIMENEZ ESQ SUCRE,3,28A,9,3479,3487,3091,3-28A,,Colón,CALERA CENTRAL,La Calera,,,
EX ANEXO MARGARITA W DE PAZ,AVELLANEDA 684,3,28A,9,3488,3496,3091,3-28A,,Colón,CALERA CENTRAL,La Calera,,,
MANUEL BELGRANO,LAS ANEMONAS 2231,3,28A,4,3497,3500,1373,3-28A,,Colón,CALERA CENTRAL,La Calera,,,
JARDIN IBARSABAL,RONDEAU 814,3,28A,3,3461,3463,1032,3-28A,,Colón,CALERA CENTRAL,La Calera,,,
ESC.PROV.B.RIVADAVIA,PUBLICA,3,29A,1,3552,3552,289,3-29A,,Colón,TINOCO,TINOCO,,,
ESC.PROV.V.MERCANTE,AGUA DE ORO,3,31A,5,3577,3581,1552,3-31A,,Colón,AGUA DE ORO,AGUA DE ORO,,,
INST SECUNDARIO AGUA DE ORO,AV BELGRANO S/N,3,31A,3,3582,3584,933,3-31A,,Colón,AGUA DE ORO,AGUA DE ORO,,,
LOCAL COMUNAL,VILLA CERRO AZUL,3,31B,2,3585,3586,390,3-31B,,Colón,VILLA CERRO AZUL,VILLA CERRO AZUL,,,
ESC PROV VICENTE AGUERO,LOTE XVII S/N,3,33A,1,3678,3678,267,3-33A,,Colón,COLONIA VICENTE AGÜERO,COLONIA VICENTE AGÜERO,,,
ESC PRIMARIA MI GRANJA,JESUS IGLECIAS S/N,3,35A,4,3753,3756,1092,3-35A,,Colón,MI GRANJA,MI GRANJA,,,
ESC.PIAS DE MENDIOLAZA,RUTA PROVINCIAL INTERMUNICIPAL E 57,3,40A,12,3899,3910,4102,3-40A,,Colón,MENDIOLAZA,MENDIOLAZA,,,
I.P.E.M.N° 3178,AV MALVINAS ARGENTIAS 1104,3,40A,12,3922,3933,4099,3-40A,,Colón,MENDIOLAZA,MENDIOLAZA,,,
ESC.PROV. D.F.SARMIENTO,MALVINAS ARGENTINAS Y SARMIENTO,3,40A,11,3911,3921,3764,3-40A,,Colón,MENDIOLAZA,MENDIOLAZA,,,
ESCUELA NOGAL HISTORICO,JOSE ACCASTELLI 252,3,41A,15,4025,4039,5236,3-41A,,Colón,SALDAN,SALDAN,,,
ESC.DE COMERCIO J.M.PAZ,VELEZ SARSFIELD 647,3,41A,14,4040,4053,4870,3-41A,,Colón,SALDAN,SALDAN,,,
ESCUELA DANDELION,9 DE JULIO 362,3,41A,5,4054,4058,1745,3-41A,,Colón,SALDAN,SALDAN,,,
JARDIN NOGAL HISTORICO,25 DE MAYO 109,3,41A,2,4023,4024,694,3-41A,,Colón,SALDAN,SALDAN,,,
ESCUELA PROV.M. MORENO,PUBLICA S/N,4,42,3,4059,4061,712,4-42,,Cruz del Eje,BAÑADO DE SOTO,BAÑADO DE SOTO,,,
ES PROV PATRICIAS ARGENTINA,CALLE PUBLICA S/N,4,43,1,4062,4062,41,4-43,,Cruz del Eje,CANDELARIA,CANDELARIA,,,
IPEM N° 253,ALEM ESQ DOMINGO MATEU,4,44,16,4066,4081,5534,4-44,,Cruz del Eje,CRUZ DEL EJE,CRUZ DEL EJE,,,
ESCUELA NORMAL,SARMIENTO 1155,4,44,15,4114,4128,5196,4-44,,Cruz del Eje,CRUZ DEL EJE,CRUZ DEL EJE,,,
ESC.E. BAVIO,PELLEGRINI 150,4,44,13,4101,4113,4498,4-44,,Cruz del Eje,CRUZ DEL EJE,CRUZ DEL EJE,,,
IPEM 273 M. BELGRANO,PELLEGRINI 445,4,44,13,4129,4141,4493,4-44,,Cruz del Eje,CRUZ DEL EJE,CRUZ DEL EJE,,,
ESC.PROV.D.F.SARMIENTO,IRIGOYEN 247,4,44,13,4088,4100,4492,4-44,,Cruz del Eje,CRUZ DEL EJE,CRUZ DEL EJE,,,
COLEGIO NTA.SRA.DEL VALLE,SARMIENTO 121,4,44,6,4082,4087,2079,4-44,,Cruz del Eje,CRUZ DEL EJE,CRUZ DEL EJE,,,
ESC PROV MANUEL BELGRANO,CAMINO VIEJO S/N,4,45,4,4145,4148,1383,4-45,,Cruz del Eje,EL BRETE,EL BRETE,,,
ESC PROV GRAL SAN MARTIN,PUBLICA S/N,4,46,3,4149,4151,843,4-46,,Cruz del Eje,GUANACO MUERTO,GUANACO MUERTO,,,
ESC PROV JOSE MARIA PAZ,PUBLICA S/N,4,47,1,4154,4154,92,4-47,,Cruz del Eje,IGLESIA VIEJA,IGLESIA VIEJA,,,
ESC PROV GRAL SAN MARTIN,RUTA PROVINCIAL N°15 S/N,4,48,2,4155,4156,500,4-48,,Cruz del Eje,LA HIGUERA,LA HIGUERA,,,
ESC.PROV.M.MORENO,RUTA PROVINCIAL 92 CAMINO S M SIERRA,4,49,1,4157,4157,93,4-49,,Cruz del Eje,LOS SAUCES,LOS SAUCES,,,
ESCUELA M. GUEMES,CALLE PUBLICA S/N RUTA PROV A 175,4,50,3,4158,4160,997,4-50,,Cruz del Eje,MEDIA NARANJA,MEDIA NARANJA,,,
I.P.E.A. N° 306 DR A SABATTINI,TUPAC AMARU,4,51,4,4164,4167,1071,4-51,,Cruz del Eje,PASO VIEJO,PASO VIEJO,,,
ESC.PROV.J.V.GONZALEZ,CALLE PUBLICA S/N,4,52,1,4169,4169,126,4-52,,Cruz del Eje,PICHANAS,PICHANAS,,,
ESC.PROV. BME. MITRE,PUBLICA,4,53,1,4170,4170,29,4-53,,Cruz del Eje,SAN ANTONIO,SAN ANTONIO,,,
ESC PROV PTE ROQUE SAENZ PEÑA,LIBERTAD 1043,4,54,8,4173,4180,2658,4-54,,Cruz del Eje,SAN MARCOS SIERRAS,SAN MARCOS SIERRAS,,,
ESC.PROV.B.RIVADAVIA,AVDA. MALVINAS ARGENTINAS     S/N,4,55,8,4182,4189,2644,4-55,,Cruz del Eje,SERREZUELA,SERREZUELA,,,
ESC.PADRE B.DE LAS CASAS,25 DE MAYO 31,4,56,9,4191,4199,3016,4-56,,Cruz del Eje,SOTO,SOTO,,,
E.N.E.T. N°1,JUAN BAUTISTA ALBERDI 2200,4,56,5,4204,4208,1675,4-56,,Cruz del Eje,SOTO,SOTO,,,
ESC NICOLAS AVELLANEDA,DEAN FUNES ESQ CORRIENTES,4,56,5,4209,4213,1663,4-56,,Cruz del Eje,SOTO,SOTO,,,
INSTITUTO SANTO DOMINGO,JOSE IGNACIO PERALTA 249,4,56,4,4200,4203,1343,4-56,,Cruz del Eje,SOTO,SOTO,,,
ESC.PROV.J.J.CASTELLI,CALLE PUBLICA S/N,4,57,4,4214,4217,1393,4-57,,Cruz del Eje,TUCLAME,TUCLAME,,,
ESC.GRAL FRANCISO O DE OCAMPO,CALLE PUBLICA S/N LA RINCONADA,4,43A,1,4063,4063,178,4-43A,,Cruz del Eje,LAS CAÑADAS,LAS CAÑADAS,,,
ESC PROV JUAN B ALBERDI,PUBLICA S/N,4,43B,1,4064,4064,212,4-43B,,Cruz del Eje,CRUZ DE CAÑA,CRUZ DE CAÑA,,,
ESC PROV JUAN B ALBERDI,#N/A,4,43C,1,4065,4065,3,4-43C,,Cruz del Eje,CIENAGA DE BRITOS,CIENAGA DE BRITOS,,,
ESC.PROV.PCIA.DE LA RIOJA,RUTA PROVINCIAL A 175,4,44A,3,4142,4144,741,4-44A,,Cruz del Eje,LAS PLAYAS,LAS PLAYAS,,,
ESCUELA PROVINCIAL,ALTO DE LOS QUEBRACH,4,46B,2,4152,4153,369,4-46B,,Cruz del Eje,ALTO DE LOS QUEBRACHOS,ALTO DE LOS QUEBRACHOS,,,
ESC DOMINGO F SARMIENTO,PUBLICA S/N,4,50A,3,4161,4163,789,4-50A,,Cruz del Eje,LOS CHAÑARITOS,LOS CHAÑARITOS,,,
ESC.PROV.J.M.PAZ,CALLE PUBLICA S/N CAMINO A TOSNO,4,51A,1,4168,4168,68,4-51A,,Cruz del Eje,SANTA ANA,SANTA ANA,,,
ESC. R.S. DE CALDELARI,CALLE PUBLICA S/N,4,53A,1,4171,4171,57,4-53A,,Cruz del Eje,LOS LEONES,LOS LEONES,,,
ESCUELA N°395(MANUEL LUCERO),CALLE PUBLICA S/N,4,53B,1,4172,4172,43,4-53B,,Cruz del Eje,EL ABRA,EL ABRA,,,
ESC JUANA PAULA MANSO,CALLE PUBLICA S/N,4,54A,1,4181,4181,60,4-54A,,Cruz del Eje,CANTERAS QUILPO,CANTERAS QUILPO,,,
ESC.PROV.DEAN G.FUNES,CALLE PUBLICA S/N,4,55A,1,4190,4190,191,4-55A,,Cruz del Eje,LA BATEA,LA BATEA,,,
ESC.PROV. J.J. PASO,MARIANO MORENO        S/N,5,58,1,4218,4218,316,5-58,,General Roca,BRUZONE,BRUZONE,,,
ESC PROV JOSE MARIA PAZ,AV MANNY S/N,5,59,6,4219,4224,1763,5-59,,General Roca,BUCHARDO,BUCHARDO,,,
ESCUELA J.M.PAZ,JOSE MARIA PAZ 444,5,60,7,4225,4231,2213,5-60,,General Roca,DEL CAMPILLO,DEL CAMPILLO,,,
I.P.E.M. N° 219,CARLOS GARDEL 653,5,60,3,4232,4234,945,5-60,,General Roca,DEL CAMPILLO,DEL CAMPILLO,,,
ESC.PROV. D.F. SARMIENTO,PTE. JUAN D.PERON  VILLA TORROBA 75,5,61,10,4235,4244,3404,5-61,,General Roca,HUINCA RENANCO,HUINCA RENANCO,,,
COLEGIO NAC. L.V.MANSILLA,SAN MARTIN 650,5,61,7,4250,4256,2392,5-61,,General Roca,HUINCA RENANCO,HUINCA RENANCO,,,
ESC.PASO DE LOS ANDES,GARAY VILLA PACIFICO 121,5,61,5,4245,4249,1701,5-61,,General Roca,HUINCA RENANCO,HUINCA RENANCO,,,
ESC DR BENJAMIN DUPONT,LAVALLE 186,5,62,4,4257,4260,1055,5-62,,General Roca,ITALO,ITALO,,,
ESC.PROV.D.F. SARMIENTO,GENERAL PAZ 249,5,63,7,4261,4267,2365,5-63,,General Roca,JOVITA,JOVITA,,,
I.P.E.M. N° 221,REMIGIO GARCIA 55,5,63,6,4268,4273,2026,5-63,,General Roca,JOVITA,JOVITA,,,
ESC PROV MANUEL BELGRANO,PUBLICA S/N,5,65,1,4274,4274,16,5-65,,General Roca,LECUEDER,LECUEDER,,,
ESC.PROV. SAN LUIS,TUCUMAN 225,5,66,5,4275,4279,1589,5-66,,General Roca,MATTALDI,MATTALDI,,,
ESC.PROV. V. MERCANTE,PUBLICA,5,67,1,4280,4280,61,5-67,,General Roca,ONAGOITY,ONAGOITY,,,
ESC. ING.A.EBELOT,FELIPA ROSALES,5,68,1,4281,4281,247,5-68,,General Roca,PINCEN,PINCEN,,,
ESC.PROV.F.N.LAPRIDA,PUBLICA,5,69,1,4282,4282,42,5-69,,General Roca,RANQUELES,RANQUELES,,,
INST. DE LOS SAGRADOS CORAZONE,SANTA MARI JOSEFA ROSSELLO 250,5,70,8,4283,4290,2679,5-70,,General Roca,VILLA HUIDOBRO,VILLA HUIDOBRO,,,
ESC.PROV.M.BELGRANO,PASCO 327,5,70,7,4291,4297,2339,5-70,,General Roca,VILLA HUIDOBRO,VILLA HUIDOBRO,,,
ESC.PROV. D.F.SARMIENTO,LIBERTAD 250,5,71,1,4298,4298,307,5-71,,General Roca,VILLA SARMIENTO,VILLA SARMIENTO,,,
ESC.PROV.J.CROTTO,SAN JOSE DE CALASANZ,5,72,9,4299,4307,2786,5-72,,General Roca,VILLA VALERIA,VILLA VALERIA,,,
ESC.PROV. A.ARGENTINA,CORDOBA 301,6,73,5,4308,4312,1572,6-73,,General San Martín,ARROYO ALGODON,ARROYO ALGODON,,,
INST. SEC. COM. SAN JOSE,BV BAUTISTA BOIRO 718,6,74,5,4313,4317,1648,6-74,,General San Martín,ARROYO CABRAL,ARROYO CABRAL,,,
ESC.PROV.D.V.SARSFIELD,RIVADAVIA 410,6,74,4,4318,4321,1315,6-74,,General San Martín,ARROYO CABRAL,ARROYO CABRAL,,,
ESC.PROV.GRAL SAN MARTIN,25 DE MAYO 551,6,75,3,4322,4324,989,6-75,,General San Martín,AUSONIA,AUSONIA,,,
ESC PROV M R DE LA TORRE,CALLE 16 582,6,76,3,4325,4327,1035,6-76,,General San Martín,CHAZON,CHAZON,,,
ESC.PROV. 12 DE OCTUBRE,SARMIENTO 320,6,77,6,4333,4338,2038,6-77,,General San Martín,ETRURIA,ETRURIA,,,
INSTITUTO SEC. GRAL PAZ,BV.SRMIENTO Y S.NICOLA 390,6,77,5,4328,4332,1685,6-77,,General San Martín,ETRURIA,ETRURIA,,,
ESC ESTEBAN ECHEVERRIA,GENERAL PAZ 556,6,78,4,4339,4342,1380,6-78,,General San Martín,LA LAGUNA,LA LAGUNA,,,
ESC.PROV. 25 DE MAYO,LA RIOJA 226,6,79,9,4343,4351,2917,6-79,,General San Martín,LA PLAYOSA,LA PLAYOSA,,,
ESC.PROV.J.V.GONZALEZ,9 DE JULIO 350,6,80,2,4352,4353,580,6-80,,General San Martín,LUCA,LUCA,,,
ESC.PROV. ISLAS MALVINAS,RUTA PROV N 158,6,81,1,4354,4354,59,6-81,,General San Martín,MOJARRAS,MOJARRAS,,,
ESC PROV CMTE L PIEDRABUENA,FELIPE LORENZATTI 875,6,82,2,4355,4356,569,6-82,,General San Martín,PALESTINA,PALESTINA,,,
ESC.PROV.D.F.SARMIENTO,SARMIENTO 370,6,83,4,4357,4360,1260,6-83,,General San Martín,PASCO,PASCO,,,
ESC PROV JOSE DE SAN MARTIN,PUBLICA S/N,6,84,1,4361,4361,33,6-84,,General San Martín,SANABRIA,SANABRIA,,,
ESC.PROV.M.GUEMES,ANTONIO CONRERO 24,6,86,2,4362,4363,667,6-86,,General San Martín,SILVIO PELLICO,SILVIO PELLICO,,,
ESC. A. CAPDEVILA,MENDOZA 315,6,87,6,4364,4369,1998,6-87,,General San Martín,TICINO,TICINO,,,
ESC.R.DE ESCALADA,25 DE MAYO 84,6,88,10,4370,4379,3222,6-88,,General San Martín,TIO PUJIO,TIO PUJIO,,,
INSTITUTO DEL ROSARIO,BV.ALVEAR 68,6,89,30,4414,4443,10389,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.N.V.MERCANTE,SOBRAL 378,6,89,29,4458,4486,10057,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
INSTITUTO FUNESIL,GUILLERMO RAWSON 1899,6,89,23,4566,4588,7974,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
IPEM N°275 EX COLEGIO NACIONAL,S.DEL ESTERO 618,6,89,15,4487,4501,5202,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
I.P.E.T. N° 2,J.MULLER 651,6,89,14,4514,4527,4854,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.N.AVELLANEDA,BS.AS.E INT.MACIEL 2314,6,89,14,4444,4457,4839,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.J.INGENIEROS,SANTA FE 1271,6,89,13,4528,4540,4498,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.COM.A.OCAMPO,CATAMARCA 650,6,89,12,4502,4513,4157,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.DR. J.BIANCO,BELGRANO 302,6,89,12,4392,4403,4157,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
INSTITUTO SAN ANTONIO,AV GOBERNADOR SABATTINI 141,6,89,11,4549,4559,3811,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESCUELA J.MARMOL,NAC. UNIDAS 385,6,89,10,4382,4391,3477,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.REP.DEL PARAGUAY,CHILE 565,6,89,10,4404,4413,3471,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
CENMA N° 96,SANTA FE 643,6,89,8,4541,4548,2766,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
INSTITUTO SEC. M.BELGRANO,M.A.OCAMPO 1836,6,89,6,4560,4565,2086,6-89,,General San Martín,VILLA MARIA,VILLA MARIA,,,
ESC.M.BELGRANO,9 DE JULIO 960,6,90,11,4627,4637,3757,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
ESCUELA PABLO VI,DEAN FUNES 757,6,90,10,4607,4616,3434,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
IPEM N° 322,LIMA Y RIVADAVIA,6,90,10,4597,4606,3433,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
INSTITUTO INMAC.CONCEPCION,CABANILLAS 416,6,90,10,4617,4626,3428,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
ESC.BME.MITRE,MITRE 1147,6,90,8,4589,4596,2739,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
ESC.REP.DE BOLIVIA,D.FUNES 1250,6,90,7,4638,4644,2398,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
JAR.BME.MITRE,SAN MARTIN 355,6,90,1,4645,4645,342,6-90,,General San Martín,VILLA NUEVA,VILLA NUEVA,,,
ESC.R.DE ESCALADA,#N/A,6,88A,1,4380,4380,3,6-88A,,General San Martín,SANTA RITA,SANTA RITA,,,
ESC.R.DE ESCALADA,#N/A,6,88B,1,4381,4381,6,6-88B,,General San Martín,SAN ANTONIO DE YUCAT,SAN ANTONIO DE YUCAT,,,
ESC.PROV.FRAY M. ESQUIU,PUBLICA S/N,7,91,2,4646,4647,498,7-91,,Ischilín,AVELLANEDA,AVELLANEDA,,,
ESC.PROV.H.VIEYTES,PUBLICA,7,92,2,4651,4652,393,7-92,,Ischilín,CAÑADA DE RIO PINTO,CAÑADA DE RIO PINTO,,,
ESC JUAN M DE PUEYRREDON,PUBLICA S/N,7,93,2,4653,4654,376,7-93,,Ischilín,COPACABANA,COPACABANA,,,
ESC PROV GRAL M GUEMES,PUBLICA S/N,7,94,2,4655,4656,585,7-94,,Ischilín,CHUÑA,CHUÑA,,,
ESC.PEDRO N.ARIAS,CORDOBA 87,7,95,11,4676,4686,3803,7-95,,Ischilín,DEAN FUNES,DEAN FUNES,,,
ESC.M.J.G.DE BELGRANO,JERONIMO L DE CABRERA 451,7,95,10,4666,4675,3459,7-95,,Ischilín,DEAN FUNES,DEAN FUNES,,,
ESC.PROV. M.MORENO,DORREGO  OBRAS SANITARIAS 326,7,95,10,4687,4696,3448,7-95,,Ischilín,DEAN FUNES,DEAN FUNES,,,
ESC.A.M.SOBRAL,SANTIAGO DEL ESTERO Y LAS HERAS,7,95,9,4697,4705,3104,7-95,,Ischilín,DEAN FUNES,DEAN FUNES,,,
ESC.PROV.GRAL SAN MARTIN,MAIPU 150,7,95,9,4657,4665,3103,7-95,,Ischilín,DEAN FUNES,DEAN FUNES,,,
ESC.AMANDA SUAREZ CORDOBA,SANTA ROSA ESQ. AMADEO SABATTINI,7,95,7,4706,4712,2407,7-95,,Ischilín,DEAN FUNES,DEAN FUNES,,,
ESCUELA FERNANDO FADER,PUBLICA S/N,7,97,1,4715,4715,71,7-97,,Ischilín,ISCHILIN,ISCHILIN,,,
ESCUELA FRAY GUILLERMO BUTLER,PUBLICA S/N,7,98,1,4716,4716,63,7-98,,Ischilín,JAIME PETER,JAIME PETER,,,
ESC.PROVINCIA DE BS.AIRES,MARIANO MORENO 220,7,99,8,4717,4724,2625,7-99,,Ischilín,QUILINO ESTACION,QUILINO ESTACION,,,
ESC.PROV.M.BELGRANO,25 DE MAYO 321,7,99,5,4725,4729,1638,7-99,,Ischilín,QUILINO ESTACION,QUILINO ESTACION,,,
ESC.PROV.D.V.SARSFIELD,VELEZ SARSFIELD,7,100,4,4730,4733,1173,7-100,,Ischilín,QUILINO VILLA,QUILINO VILLA,,,
ESC PROV JOAQUIN V GONZALEZ,PUBLICA S/N,7,101,1,4734,4734,89,7-101,,Ischilín,TOYOS,TOYOS,,,
ESC.PROV.J.V.RECLA,CANTERAS,7,91A,1,4648,4648,23,7-91A,,Ischilín,CANTERAS,CANTERAS,,,
ESC LIB GRAL SAN MARTIN,PUBLICA S/N,7,91B,1,4649,4649,141,7-91B,,Ischilín,LOS POZOS,LOS POZOS,,,
"ESC,PROV.M.MARTINEZ DE SUAREZ",PUBLICA,7,91C,1,4650,4650,316,7-91C,,Ischilín,VILLA GUTIERREZ,VILLA GUTIERREZ,,,
ESC.PROV.GUIDO SPANO,PUBLICA,7,96A,2,4713,4714,564,7-96A,,Ischilín,OLIVARES SAN NICOLAS,OLIVARES SAN NICOLAS,,,
ESC.EL GRAN CAPITAN,SARMIENTO 25,8,102,9,4735,4743,2941,8-102,,Juárez Celman,ALEJANDRO,ALEJANDRO,,,
ESC.MISIONEROS SALESIANOS,VELEZ SARSFIELD 625,8,102,7,4744,4750,2285,8-102,,Juárez Celman,ALEJANDRO,ALEJANDRO,,,
ESC.PROV.D.F.SARMIENTO,PUBLICA S/N,8,103,1,4751,4751,93,8-103,,Juárez Celman,ASSUNTA,ASSUNTA,,,
ESC.DR JUAN MANUEL PEREYRA,SAN MARTIN 626,8,105,3,4752,4754,1013,8-105,,Juárez Celman,BENGOLEA,BENGOLEA,,,
INST. G.L.DE CABRERA,CABRERA,8,106,9,4755,4763,3073,8-106,,Juárez Celman,CABRERA,CABRERA,,,
ESC.PROV.J.M.PAZ,25 DE MAYO 1183,8,106,8,4764,4771,2725,8-106,,Juárez Celman,CABRERA,CABRERA,,,
ESC.FRAY PIO BENTIVOGLIO,MAIPU 962,8,106,7,4772,4778,2393,8-106,,Juárez Celman,CABRERA,CABRERA,,,
"ESC,PROV.E.F.OLMOS",20 DE SEPTIEMBRE 584,8,106,7,4779,4785,2392,8-106,,Juárez Celman,CABRERA,CABRERA,,,
ESC.TTE. 1°M.C.ASUA,PASTORA V DE AGUIRRE 13,8,107,6,4786,4791,1953,8-107,,Juárez Celman,CARNERILLO,CARNERILLO,,,
ESC TTE CNEL J DUATE ARDOY,SARMIENTO 182,8,108,4,4792,4795,1064,8-108,,Juárez Celman,CHARRAS,CHARRAS,,,
ESC.PROV.GRAL SAN MARTIN,BV SAN MARTIN 251,8,109,11,4808,4818,3731,8-109,,Juárez Celman,DEHEZA,DEHEZA,,,
INSTITUTO SEC. 25 DE MAYO,SAN MARTIN 136,8,109,6,4802,4807,2037,8-109,,Juárez Celman,DEHEZA,DEHEZA,,,
ESC.ESPECIAL AMANECER,SAAVEDRA 271,8,109,6,4796,4801,2034,8-109,,Juárez Celman,DEHEZA,DEHEZA,,,
INST.TEC.ADRIAN P. URQUIA,BV ALMIRANTE BROWN 217,8,109,6,4819,4824,2034,8-109,,Juárez Celman,DEHEZA,DEHEZA,,,
ESC CARLOS MARIA DE ALVEAR,PUBLICA S/N,8,110,1,4825,4825,84,8-110,,Juárez Celman,EL RASTREADOR,EL RASTREADOR,,,
ESC PROV DOMINGO F SARMIENTO,CARLOS ALBERTO MAYOL S/N,8,111,4,4827,4830,1158,8-111,,Juárez Celman,HUANCHILLA,HUANCHILLA,,,
ESC.FORTIN HEROICO,ACOSTA 673,8,112,12,4852,4863,4068,8-112,,Juárez Celman,LA CARLOTA,LA CARLOTA,,,
ESC.NAC.DE COMERCIO,V.SARSFIELD 651,8,112,12,4840,4851,4064,8-112,,Juárez Celman,LA CARLOTA,LA CARLOTA,,,
INST.NTA.M.DE LAS MERCEDES,9 DE JULIO 271,8,112,9,4831,4839,3060,8-112,,Juárez Celman,LA CARLOTA,LA CARLOTA,,,
ESC DOMINGO F SARMIENTO,SRITA BERNARDINA BAIGORRI 229,8,113,3,4864,4866,776,8-113,,Juárez Celman,LOS CISNES,LOS CISNES,,,
ESCUELA PROV.FRENCH Y BERUTTI,25 DE MAYO 135,8,114,2,4867,4868,659,8-114,,Juárez Celman,OLAETA,OLAETA,,,
ESC.CAP. F.D.ZARCO,MANUEL DE LA LASTRA 623,8,116,5,4869,4873,1526,8-116,,Juárez Celman,REDUCCION,REDUCCION,,,
INSTITUTO DR.M. BELGRANO,AV PERON 519,8,117,7,4875,4881,2149,8-117,,Juárez Celman,SANTA EUFEMIA,SANTA EUFEMIA,,,
ESC.PROV.J.B.ALBERDI,JOSE MARIA PAZ 72,8,118,8,4882,4889,2623,8-118,,Juárez Celman,UCACHA,UCACHA,,,
ESC.MARTIN GUERRICO,CORRIENTES Y LA RIOJA,8,118,7,4890,4896,2290,8-118,,Juárez Celman,UCACHA,UCACHA,,,
"ESC,PROV.M.BELGRANO",12 DE OCTUBRE,8,110A,1,4826,4826,85,8-110A,,Juárez Celman,PACHECO DE MELO,PACHECO DE MELO,,,
ESC.PROV.MARTIN DE ALVA,PASO DEL DURAZNO,8,116A,1,4874,4874,136,8-116A,,Juárez Celman,PASO DEL DURAZNO,PASO DEL DURAZNO,,,
INSTITUTO SEC. V.SARSFIELD,HIPILITO YRIGOYEN 757,9,119,4,4897,4900,1265,9-119,,Marcos Juárez,ALEJO LEDESMA,ALEJO LEDESMA,,,
ESC.PROV.D.F.SARMIENTO,LEANDRO N ALEM 574,9,119,4,4903,4906,1260,9-119,,Marcos Juárez,ALEJO LEDESMA,ALEJO LEDESMA,,,
ESCUELA N.AVELLANEDA,HIPOLITO YRIGOYEN 476,9,119,2,4901,4902,633,9-119,,Marcos Juárez,ALEJO LEDESMA,ALEJO LEDESMA,,,
ESC.R.ESCALADA DE SAN MARTIN,AV. ESPAÑA 779,9,120,10,4907,4916,3356,9-120,,Marcos Juárez,ARIAS,ARIAS,,,
ESC.PROV.SGTO.CABRAL,INTENDENTE MELQUIOT 922,9,120,9,4917,4925,3021,9-120,,Marcos Juárez,ARIAS,ARIAS,,,
ESC JOSE MARIA PAZ,SARMIENTO 633,9,121,6,4926,4931,2024,9-121,,Marcos Juárez,BALDISSERA,BALDISSERA,,,
ESC PROV DOMINGO F SARMIENTO,PUBLICA S/N,9,122,2,4932,4933,376,9-122,,Marcos Juárez,BARGE,BARGE,,,
