escuela,direccion,localidad,distrito_nro,ditrito_name,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,georeferencia
ESC DOMINGO F SARMIENTO,BLAS DE ROSALES,,4,CORDOBA,14,RIO PRIMERO,210,BLAS DE ROSALES,1,6378,6378,92,
ESCUELA MAESTRO DOMINGO NOGAL,AV SAN MARTIN,,4,CORDOBA,14,RIO PRIMERO,211,MONTE CRISTO,7,6396,6402,2366,
ESCUELA 25 DE MAYO,LUIS F TAGLE,,4,CORDOBA,14,RIO PRIMERO,211,MONTE CRISTO,6,6403,6408,2028,
ESC.PROV.1ER.GOBIERNO PATRIO,QUEBRACHO,,4,CORDOBA,14,RIO PRIMERO,217,QUEBRACHO,1,6427,6427,85,
ESC.JORGE NEWBERY,PUBLICA,,4,CORDOBA,14,RIO PRIMERO,219,SAGRADA FAMILIA,1,6449,6449,175,
ESC PBRO JOSE G BROCHERO,SANTA ROSA,,4,CORDOBA,14,RIO PRIMERO,220,VILLA SANTA ROSA,7,6457,6463,2373,
INSTITUTO EL SALVADOR,SANTA ROSA,,4,CORDOBA,14,RIO PRIMERO,220,VILLA SANTA ROSA,8,6464,6471,2712,
ESC PROV R SAENZ PEÑA,EL ALCALDE,,4,CORDOBA,14,RIO PRIMERO,221,EL ALCALDE,1,6472,6472,110,
ESC PROV PRIMERA JUNTA,ENCRUCIJADA,,4,CORDOBA,15,RIO SECO,224,ENCRUCIJADA,1,6479,6479,43,
ESC PROV GENERAL PAZ,PUBLICA S/N,,4,CORDOBA,15,RIO SECO,225A,LA CAÑADA,1,6483,6483,85,
ESC.PROV.D.F.SARMIENTO,PUESTO DE CASTRO,,4,CORDOBA,15,RIO SECO,226A,PUESTO DE CASTRO,2,6486,6487,405,
ESC.PROV.CNEL.F.DE BEDOYA,RAYO CORTADO,,4,CORDOBA,15,RIO SECO,227,RAYO CORTADO,3,6488,6490,743,
ESC PROV LUCIANO ARGUELLO,CERRO COLORADO,,4,CORDOBA,15,RIO SECO,227B,CERRO COLORADO,2,6493,6494,351,
IPEM 224-LEOPOLDO LUGONES,RECONQUISTA,,4,CORDOBA,15,RIO SECO,229,VILLA DE MARIA,7,6514,6520,2373,
COLEGIO ENS.SECUNDARIA,CALCHIN,,4,CORDOBA,16,RIO SEGUNDO,230,CALCHIN,7,6522,6528,2211,
ESC.PROV.M.BELGRANO,CALCHIN OESTE,,4,CORDOBA,16,RIO SEGUNDO,230A,CALCHIN OESTE,2,6529,6530,668,
ESC NARCISO LAPRIDA,NARCISO LAPRIDA S/N,,4,CORDOBA,16,RIO SEGUNDO,235,LAGUNA LARGA,7,6554,6560,2380,
I.P.E.A.(IPEM231 TORAZO),LAS JUNTURAS,,4,CORDOBA,16,RIO SEGUNDO,236,LAS JUNTURAS,5,6566,6570,1552,
IPEM N° 300,LUQUE,,4,CORDOBA,16,RIO SEGUNDO,237,LUQUE,7,6572,6578,2371,
ESC GRAL JOSE DE SAN MARTIN,LUQUE,,4,CORDOBA,16,RIO SEGUNDO,237,LUQUE,10,6579,6588,3380,
ESCUELA N°57,MANFREDI,,4,CORDOBA,16,RIO SEGUNDO,237A,MANFREDI,3,6589,6591,941,
ESC JOSE MARIA PAZ,ONCATIVO,,4,CORDOBA,16,RIO SEGUNDO,239,ONCATIVO,13,6596,6608,4407,
ESC DE COM L LUGONES(IPEM 158),ONCATIVO,,4,CORDOBA,16,RIO SEGUNDO,239,ONCATIVO,7,6609,6615,2373,
ESC EMILIO F OLMOS,ONCATIVO,,4,CORDOBA,16,RIO SEGUNDO,239,ONCATIVO,7,6616,6622,2371,
ESC ZENON LOPEZ,PILAR,,4,CORDOBA,16,RIO SEGUNDO,240,PILAR,14,6632,6645,4844,
ESC JUAN BAUTISTA BUSTOS,PILAR,,4,CORDOBA,16,RIO SEGUNDO,240,PILAR,7,6646,6652,2418,
ESC MARIA J GONZALEZ CASEROS,PILAR,,4,CORDOBA,16,RIO SEGUNDO,240,PILAR,11,6653,6663,3795,
INST CARLOS PELLEGRINI,PILAR,,4,CORDOBA,16,RIO SEGUNDO,240,PILAR,6,6664,6669,2070,
ESC GENERAL SAN MARTIN,POZO DEL MOLLE,,4,CORDOBA,16,RIO SEGUNDO,241,POZO DEL MOLLE,11,6670,6680,3617,
ESC FRANCISCO MALBRAN,POZO DEL MOLLE,,4,CORDOBA,16,RIO SEGUNDO,241,POZO DEL MOLLE,6,6681,6686,1968,
ESC PROV NICOLAS AVELLANEDA,RINCON,,4,CORDOBA,16,RIO SEGUNDO,242,RINCON,2,6687,6688,469,
ESC MARIANO MORENO,CAÑADA DE MACHADO SUD,,4,CORDOBA,16,RIO SEGUNDO,242A,CAÑADA DE MACHADO SUD,1,6689,6689,8,
IPEM N°108-C G DE REZZANO,RIO SEGUNDO,,4,CORDOBA,16,RIO SEGUNDO,243,RIO SEGUNDO,10,6696,6705,3410,
ESC CONGRESO DE TUCUMAN,RIO SEGUNDO,,4,CORDOBA,16,RIO SEGUNDO,243,RIO SEGUNDO,9,6729,6737,3060,
ESC CORONEL PRINGLES,SANTIAGO TEMPLE,,4,CORDOBA,16,RIO SEGUNDO,244,SANTIAGO TEMPLE,8,6743,6750,2448,
ESCUELA RECONQUISTA,VILLA DEL ROSARIO,,4,CORDOBA,16,RIO SEGUNDO,245,VILLA DEL ROSARIO,9,6752,6760,3114,
ESC MARQUES DE SOBREMONTE,VILLA DEL ROSARIO,,4,CORDOBA,16,RIO SEGUNDO,245,VILLA DEL ROSARIO,12,6761,6772,4152,
ESC SUP DE COM JOSE M PAZ,VILLA DEL ROSARIO,,4,CORDOBA,16,RIO SEGUNDO,245,VILLA DEL ROSARIO,7,6773,6779,2415,
COLEGIO SAN JOSE,VILLA DEL ROSARIO,,4,CORDOBA,16,RIO SEGUNDO,245,VILLA DEL ROSARIO,11,6780,6790,3795,
I.P.E.M. 278-M.ARGENTINAS,AV INDEPENDENCIA 475,,4,CORDOBA,17,ROQUE SAENZ PEÑA,248,LABOULAYE,9,6791,6799,3114,
ESC GRAL CONRADO VILLEGAS,INTENDENTE FENOGLIO 344,,4,CORDOBA,17,ROQUE SAENZ PEÑA,248,LABOULAYE,10,6800,6809,3460,
COLEGIO SAN JOSE,RIVADAVIA 245,,4,CORDOBA,17,ROQUE SAENZ PEÑA,248,LABOULAYE,8,6816,6823,2768,
IPEM 257 DR RENE FAVALORO,AV INDEPENDENCIA 512,,4,CORDOBA,17,ROQUE SAENZ PEÑA,248,LABOULAYE,10,6824,6833,3460,
ESC JUAN PASCUAL PRINGLES,AV INDEPENDENCIA 284,,4,CORDOBA,17,ROQUE SAENZ PEÑA,248,LABOULAYE,10,6834,6843,3457,
ESC.PROV.GRAL SAN MARTIN,SAN JOAQUIN,,4,CORDOBA,17,ROQUE SAENZ PEÑA,256,SAN JOAQUIN,1,6872,6872,146,
INS SAN ALBERTO Y SAN ENRIQUE,SERRANO,,4,CORDOBA,17,ROQUE SAENZ PEÑA,257,SERRANO,9,6873,6881,3072,
ESCUELA N°105(JOSE RUBIROLA),VILLA ROSSI,,4,CORDOBA,17,ROQUE SAENZ PEÑA,258,VILLA ROSSI,2,6882,6883,581,
ESC.PROV.FRAY J.M.NOGAL,DOMINGO F SARMIENTO,,4,CORDOBA,18,SAN ALBERTO,260,AMBUL,3,6885,6887,1022,
IPEM N° 344,BROCHERO,,4,CORDOBA,18,SAN ALBERTO,261,BROCHERO,7,6889,6895,2327,
ESC JOSE GABRIEL BROCHERO,MARIANO MORENO 291,,4,CORDOBA,18,SAN ALBERTO,261,BROCHERO,7,6896,6902,2324,
ESC GRAL JOSE DE SAN MARTIN,MINA CLAVERO,,4,CORDOBA,18,SAN ALBERTO,262,MINA CLAVERO,10,6912,6921,3398,
POLICIA FEDERAL ARGENTINA,LA CALERA ESQ LOS CEIBOS,,4,CORDOBA,18,SAN ALBERTO,262,MINA CLAVERO,4,6934,6937,1356,
ESCUELA 20 DE JUNIO,PUBLICA S/N,,4,CORDOBA,18,SAN ALBERTO,263A,PAMPA DE ACHALA,1,6946,6946,142,
ESC.PROV.M.A DE CARRANZA PREGO,LAS CALLES,,4,CORDOBA,18,SAN ALBERTO,263D,LAS CALLES,2,6951,6952,535,
ESC TOMAS DE IRIARTE,LOS ESPINILLOS,,4,CORDOBA,18,SAN ALBERTO,264A,LOS ESPINILLOS,1,6958,6958,253,
ESC MARCELO T DE ALVEAR,SAN RAFAEL,,4,CORDOBA,18,SAN ALBERTO,266A,SAN RAFAEL,1,6996,6996,150,
ESC MAGDALENA T DE CHARLES,PUBLICA S/N,,4,CORDOBA,19,SAN JAVIER,270,LAS ROSAS,10,7093,7102,3416,
ESC LEOPOLDO LUG0NES,LAS TAPIAS,,4,CORDOBA,19,SAN JAVIER,271,LAS TAPIAS,5,7107,7111,1648,
ESC.PROV.EMILIO F.OLMOS,PUBLICA,,4,CORDOBA,19,SAN JAVIER,273,LUYABA,4,7116,7119,1298,
ESC GENERAL SAN MARTIN,SAN JAVIER,,4,CORDOBA,19,SAN JAVIER,274,SAN JAVIER,3,7120,7122,841,
ESC GENERAL SAN MARTIN,PUBLICA,,4,CORDOBA,19,SAN JAVIER,276,YACANTO,4,7139,7142,1236,
ESC JOSE MANUEL ESTRADA,ALICIA,,4,CORDOBA,20,SAN JUSTO,277,ALICIA,4,7143,7146,1302,
ESC FRAY CAYETANO RODRIGUEZ,ALICIA,,4,CORDOBA,20,SAN JUSTO,277,ALICIA,5,7147,7151,1625,
INST DR D VELEZ SARSFIELD,ARROYITO,,4,CORDOBA,20,SAN JUSTO,279,ARROYITO,15,7179,7193,5178,
ESCUELA N°198(ESC GIMENEZ LAGO,ARROYITO,,4,CORDOBA,20,SAN JUSTO,279,ARROYITO,14,7194,7207,4830,
ESC VICENTE LOPEZ Y PLANES,25 DE MAYO 271,,4,CORDOBA,20,SAN JUSTO,280,BALNEARIA,6,7219,7224,2022,
INST JUAN BAUTISTA ALBERDI,BALNEARIA,,4,CORDOBA,20,SAN JUSTO,280,BALNEARIA,4,7232,7235,1344,
ESC.PROV.M.MORENO,TUCUMAN 483,,4,CORDOBA,20,SAN JUSTO,283,CONCEPCION,6,7263,7268,1826,
ESC CARLOS J FLORIT,DEVOTO,,4,CORDOBA,20,SAN JUSTO,285,DEVOTO,10,7270,7279,3301,
ESC DOMINGO F SARMIENTO,DEVOTO,,4,CORDOBA,20,SAN JUSTO,285,DEVOTO,7,7280,7286,2310,
IPEM N°166 CAP G DEL VALLE,EL TIO,,4,CORDOBA,20,SAN JUSTO,290,EL TIO,3,7303,7305,950,
ESC FLORENTINO AMEGHINO,FREYRE,,4,CORDOBA,20,SAN JUSTO,291,FREYRE,10,7314,7323,3415,
ESC THOMAS ALVA EDISON,ITURRASPE,,4,CORDOBA,20,SAN JUSTO,292,ITURRASPE,1,7325,7325,112,
INST COM SEC LA FRANCIA,LA FRANCIA,,4,CORDOBA,20,SAN JUSTO,293,LA FRANCIA,5,7326,7330,1630,
ESC PROV DAMAS PATRICIAS,LA FRANCIA,,4,CORDOBA,20,SAN JUSTO,293,LA FRANCIA,6,7331,7336,1951,
IPEM N°287-L LUGONES,LASPIUR,,4,CORDOBA,20,SAN JUSTO,296,LASPIUR,7,7347,7353,2386,
ESC PROV MARIANO MORENO,LAS VARAS,,4,CORDOBA,20,SAN JUSTO,297,LAS VARAS,4,7354,7357,1222,
INST SEC MANUEL DORREGO,SARMIENTO 295,,4,CORDOBA,20,SAN JUSTO,300,MARINA,4,7404,7407,1183,
ESC.PROV.J.L.DE CABRERA,JERONIMO LUIS DE CABRERA,,4,CORDOBA,20,SAN JUSTO,303,MIRAMAR DE ANSENUZA,7,7415,7421,2148,
COLEGIO NACIONAL MIXTO,MORTEROS,,4,CORDOBA,20,SAN JUSTO,304,MORTEROS,15,7422,7436,5113,
INST BERNARDINO RIVADAVIA,PORTEÑA,,4,CORDOBA,20,SAN JUSTO,305,PORTEÑA,8,7471,7478,2752,
ESC PROV 9 DE JULIO,PORTEÑA,,4,CORDOBA,20,SAN JUSTO,305,PORTEÑA,7,7479,7485,2403,
ESC PROV 9 DE JULIO,COLONIA SAN PEDRO,,4,CORDOBA,20,SAN JUSTO,311,SAN PEDRO,1,7667,7667,238,
ESCUELA N°149(HOY:JOSE SEEBER),SEEBER,,4,CORDOBA,20,SAN JUSTO,313,SEEBER,3,7669,7671,706,
ESC COMANDANTE ESPORA,3 DE FEBRERO 362,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,12,7683,7694,4140,
INST EL OBRAJE (ARRIBA),NIETO 17,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,6,7703,7708,2070,
INST DE LA MISERICORDIA,PADRE DOMINGO VIERA 151,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,10,7709,7718,3450,
INST SUP ANGLO AMERICANO,BV CARLOS PELLEGRINI 637,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,7,7719,7725,2415,
ESC NAC NORM SUP ALTA GRACIA,JOSE HERNANDEZ 201,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,10,7726,7735,3450,
ESCUELA SAN MARTIN,URUGUAY 200,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,9,7736,7744,3105,
I.P.E.M. N° 298,RAFAEL LOZADA 53,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,14,7753,7766,4827,
ESCUELA MANUEL SOLARES,ESPAÑA 26,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,8,7780,7787,2752,
ESCUELA JOSE MARIA PAZ,LOS ANDES 80,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,9,7788,7796,3096,
ESC SANTIAGO DE LINIERS,,,4,CORDOBA,21,SANTA MARIA,316,ALTA GRACIA,8,7797,7804,2752,
LOCAL COMUNAL,LA RANCHERITA,,4,CORDOBA,21,SANTA MARIA,316C,LA RANCHERITA,1,7825,7825,167,
ESC GENERAL MANUEL BELGRANO,LA SERRANITA,,4,CORDOBA,21,SANTA MARIA,316D,LA SERRANITA,2,7826,7827,471,
ESC PROV DOMINGO F SARMIENTO,VILLA LOS AROMOS,,4,CORDOBA,21,SANTA MARIA,316I,VILLA LOS AROMOS,3,7844,7846,956,
ESC.PROV.FRENCH Y BERUTTI,SARMIENTO Y BERUTTI,,4,CORDOBA,21,SANTA MARIA,318,RAFAEL GARCIA,2,7857,7858,648,
I.P.E.M.67-L.PIEDRABUENA,MALAGUEÑO,,4,CORDOBA,21,SANTA MARIA,326,MALAGUEÑO,9,7907,7915,2979,
ESC PROV GABRIELA MISTRAL,MARCELO GARLOT,,4,CORDOBA,21,SANTA MARIA,326A,YOCSINA,3,7922,7924,996,
ESC.PROV.M.MORENO,PUBLICA,,4,CORDOBA,21,SANTA MARIA,330,SAN ISIDRO,2,7948,7949,650,
ESCUELA DE MINERIA,JOSE DE LA QUINTANA,,4,CORDOBA,21,SANTA MARIA,330A,JOSE DE LA QUINTANA,2,7950,7951,578,
ESC PROV JUAN B ALBERDI,TOLEDO,,4,CORDOBA,21,SANTA MARIA,331,TOLEDO,7,7952,7958,2373,
IPEM 107 REINO DE ESPAÑA,TOLEDO,,4,CORDOBA,21,SANTA MARIA,331,TOLEDO,7,7959,7965,2369,
I.P.E.T. N°17,CHAÑAR,,4,CORDOBA,22,SOBREMONTE,335,CHAÑAR,8,7971,7978,2733,
ESC GOB J F JAVIER DIAZ,HERNANDO,,4,CORDOBA,23,TERCERO ARRIBA,340,HERNANDO,7,8029,8035,2352,
ESC PABLO A PIZZURNO,HERNANDO,,4,CORDOBA,23,TERCERO ARRIBA,340,HERNANDO,9,8042,8050,3024,
INST SEC JOSE M ESTRADA,JAMES CRAIK,,4,CORDOBA,23,TERCERO ARRIBA,341,JAMES CRAIK,6,8059,8064,1986,
ESC PROV J M SALGUEIRO,JAMES CRAIK,,4,CORDOBA,23,TERCERO ARRIBA,341,JAMES CRAIK,8,8065,8072,2641,
ESC PROV DOMINGO F SARMIENTO,LAS PERDICES,,4,CORDOBA,23,TERCERO ARRIBA,342,LAS PERDICES,6,8073,8078,2034,
ESC PROV BARTOLOME MITRE,ALVEAR 320,,4,CORDOBA,23,TERCERO ARRIBA,344,OLIVA,7,8088,8094,2410,
ESCUELA NAC.DE COMERCIO,OLIVA,,4,CORDOBA,23,TERCERO ARRIBA,344,OLIVA,13,8108,8120,4472,
ESC PROV ANTARTIDA ARGENTINA,PAMPAYASTA NORTE,,4,CORDOBA,23,TERCERO ARRIBA,345,PAMPAYASTA NORTE,2,8121,8122,424,
ESC PROV GABRIELA MISTRAL,LAS ISLETILLAS,,4,CORDOBA,23,TERCERO ARRIBA,347A,LAS ISLETILLAS,1,8128,8128,260,
ESC PROV R E DE SAN MARTIN,25 DE FEBRERO 171,,4,CORDOBA,23,TERCERO ARRIBA,348,RIO TERCERO,12,8173,8184,4152,
COLEGIO JESUS MARIA Y JOSE,SAN AGUSTIN 318,,4,CORDOBA,23,TERCERO ARRIBA,348,RIO TERCERO,14,8191,8204,4833,
ESC JOSE M ZAPIOLA,CHACABUCO 649,,4,CORDOBA,23,TERCERO ARRIBA,348,RIO TERCERO,13,8215,8227,4485,
ESC PROV GRAL ARENALES,CANDELARIA,,4,CORDOBA,24,TOTORAL,350,CANDELARIA,2,8269,8270,390,
ESC.R.J.CARCANO,CAÑADA DE LUQUE,,4,CORDOBA,24,TOTORAL,351,CAÑADA DE LUQUE,4,8271,8274,1188,
ESC CEFERINO NAMUNCURA,MACHA,,4,CORDOBA,24,TOTORAL,353,MACHA,1,8284,8284,65,
ESC.PROV.S.MARTIN Y GOMEZ,PUBLICA,,4,CORDOBA,24,TOTORAL,355,SARMIENTO,4,8286,8289,1145,
ESC PROV MIGUEL DE GUEMES,EL RODEO,,4,CORDOBA,25,TULUMBA,360A,EL RODEO,1,8324,8324,243,
ESCUELA ESTEBAN ECHEVERRIA,LA TOMA,,4,CORDOBA,25,TULUMBA,360B,LA TOMA,1,8325,8325,146,
ESC.J.M.ESTRADA,AV.SAN MARTIN,,4,CORDOBA,25,TULUMBA,361,LAS ARRIAS,6,8326,8331,2035,
ESC PROV 25 DE MAYO,EL BAÑADO,,4,CORDOBA,25,TULUMBA,362,EL BAÑADO,1,8332,8332,34,
ESC PROV MANUEL DORREGO,PUBLICA S/N,,4,CORDOBA,25,TULUMBA,370A,LA CAÑADA,1,8360,8360,27,
ESC PROV JUAN P ESNAOLA,ANA ZUMARAN,,4,CORDOBA,26,UNION,372A,ANA ZUMARAN,1,8371,8371,202,
ESC.NORMAL F.ALCORTA,25 DE MAYO 135,,4,CORDOBA,26,UNION,375,BELL VILLE,21,8387,8407,7245,
ESC F AMEGHINO,ENTRE RIOS 457,,4,CORDOBA,26,UNION,375,BELL VILLE,11,8408,8418,3784,
COLEGIO SAN JOSE,BV FIGUEROA ALCORTA 40,,4,CORDOBA,26,UNION,375,BELL VILLE,15,8461,8475,5160,
ESC PROV J HERNANDEZ,CANALS,,4,CORDOBA,26,UNION,378,CANALS,10,8481,8490,3359,
INSTITUTO BELISARIO ROLDAN,CANALS,,4,CORDOBA,26,UNION,378,CANALS,13,8491,8503,4355,
ESC.PROV.A.M.ZUMARAN D CARCANO,PUBLICA,,4,CORDOBA,26,UNION,379,CARCANO,1,8504,8504,23,
ESC R VERA PEÑALOZA,GOULD,,4,CORDOBA,26,UNION,386,GOULD,2,8521,8522,628,
ESCUELA MARIANO MORENO,LABORDE,,4,CORDOBA,26,UNION,389,LABORDE,5,8528,8532,1640,
ESCUELA PROV DARDO ROCHA,LABORDE,,4,CORDOBA,26,UNION,389,LABORDE,5,8539,8543,1636,
ESC PROV R E DE SAN MARTIN,NOETINGER,,4,CORDOBA,26,UNION,393,NOETINGER,6,8576,8581,1958,
ESCUELA LEANDRO N ALEM,NOETINGER,,4,CORDOBA,26,UNION,393,NOETINGER,8,8582,8589,2608,
ESC MAESTRO J RECALDE,PASCANAS,,4,CORDOBA,26,UNION,395,PASCANAS,3,8602,8604,921,
ESCUELA VALENTIN ALSINA,CORRAL DEL BAJO,,4,CORDOBA,26,UNION,397A,CORRAL DEL BAJO,1,8634,8634,7,
INST JOSE DE SAN MARTIN,SAN MARCOS SUD,,4,CORDOBA,26,UNION,400,SAN MARCOS SUD,5,8635,8639,1570,
ESC PROV M BUCHARDO,SAN MARCOS SUD,,4,CORDOBA,26,UNION,400,SAN MARCOS SUD,4,8640,8643,1253,
ESC.SABIN,"DDE.CMO.S.ANTONIO KM 7 1/2,1KM.AL O.",,4,CORDOBA,1,CAPITAL,4E,NUESTRO HOGAR III,8,306,313,2596,
NSC.OSCAR RAUL MALVASIO,MANZANA 49,,4,CORDOBA,1,CAPITAL,4F,CIUDAD OBISPO ANGELELLI,8,314,321,2679,
ESC GRECIA,PEDERNERA B°SAN VICENTE 952,,4,CORDOBA,1,CAPITAL,5,ALTAMIRA,10,339,348,3400,
IPEM 184-M.FRAGUEIRO,"OB.CASTELLANO,S.VICENTE 955",,4,CORDOBA,1,CAPITAL,5D,MALDONADO,9,462,470,3060,
ESC M COOPERATIVISMO ARGENTINO,M BRAVO Y PJE.MATHEU,,4,CORDOBA,1,CAPITAL,5F,RENACIMIENTO,14,483,496,4715,
ESCUELA HEROES DE MALVINAS,CALLE PUBLICA S/N (CNO VILLA POSSE),,4,CORDOBA,1,CAPITAL,5I,COLINAS DEL SUR,8,549,556,2728,
ESC MUNICIPAL DR   A SOBRAL,PUBLICA S/N,,4,CORDOBA,1,CAPITAL,6A,BAJADA DE PIEDRA,1,580,580,294,
ESC LEOPOLDO LUGONES,LESPADA Y GALVEZ,,4,CORDOBA,1,CAPITAL,9D,POETA LUGONES,10,1101,1110,3424,
IPEM 198 MARTIN FERREYRA,CAMAÑO BAZAN E/CARLES Y A.GRIMAU,,4,CORDOBA,1,CAPITAL,9D,POETA LUGONES,9,1111,1119,3078,
ESC MUN YAMAHIBIA ARABE LIBIA,COLORADO/GAIMAN/MASCACHIN,,4,CORDOBA,1,CAPITAL,10A,CABILDO,9,1250,1258,3033,
ESC MUNIC REPUBLICA DE ITALIA,REALICO Y CURAZAO,,4,CORDOBA,1,CAPITAL,10D,CONGRESO,7,1322,1328,2226,
ESC AERONAUTICA ARGENTINA,ESMERALDA/CAP GRELLA,,4,CORDOBA,1,CAPITAL,10F,MATIENZO,10,1371,1380,3470,
ESC.OSVALDO JORGE LEON,COLORADO ESQ LUAYABA,,4,CORDOBA,1,CAPITAL,10J,SANTA ISABEL,7,1567,1573,2387,
IPEM 313 (ANEX0),"DEFENSA Y CACHEUTA,V.EL LIBERTADOR",,4,CORDOBA,1,CAPITAL,10L,VILLA EL LIBERTADOR,6,1590,1595,2082,
ESC MARTA JUANA GONZALEZ,DEFENSA Y CACHEUTA 1091,,4,CORDOBA,1,CAPITAL,10L,VILLA EL LIBERTADOR,10,1604,1613,3470,
ESC ISABEL LA CATOLICA,SUBOF OTANO S/N°,,4,CORDOBA,1,CAPITAL,11,AERONAUTICO,14,1673,1686,4728,
JORGE LUIS BORGES,ALTO ALEGRE/NAMUNCURA,,4,CORDOBA,1,CAPITAL,11G,PARQUE REPUBLICA,6,1958,1963,2076,
CURACA LINO ACEVEDO,PUBLICA ESQ DOCENTES ARGENTINOS,,4,CORDOBA,1,CAPITAL,11G,PARQUE REPUBLICA,3,1964,1966,1038,
ESC MUNIC LUZ VIEYRA MENDEZ,ABEL N DE CHAVEZ,,4,CORDOBA,1,CAPITAL,11I,RESIDENCIAL SAN ROQUE,11,1987,1997,3751,
J DE INF MAURO FERNANDEZ,GONZALEZ ALBARRACIN Y R ARIAS RSR,,4,CORDOBA,1,CAPITAL,11I,RESIDENCIAL SAN ROQUE,2,2008,2009,682,
HEROES DE MALVINAS,CNEL MANUEL NAMUNCURA/PETIROSSI,,4,CORDOBA,1,CAPITAL,11I,RESIDENCIAL SAN ROQUE,6,2020,2025,2040,
ESC JUAN XXIII,BENAVIDEZ Y CANESA -,,4,CORDOBA,1,CAPITAL,12,AVELLANEDA,12,2140,2151,4080,
ESC.MA.DEL TRANSITO CABANILLAS,CNO.SAN ANDRES/RUIZ HUIDOBRO,,4,CORDOBA,1,CAPITAL,12A,CARCANO,8,2176,2183,2736,
ESC. MARIA EVA DUARTE,CALLE PUBLICA S/N (CNO 60 CUAD KM3),,4,CORDOBA,1,CAPITAL,12D,JOSE IGNACIO DIAZ,9,2334,2342,3105,
ESC LIBERTADOR GRAL S MARTIN,SGO MORALES 4400,,4,CORDOBA,1,CAPITAL,12E,FERREYRA,9,2348,2356,3018,
J DE INF LIBERTADOR SAN MARTIN,SGO MORALES S/N,,4,CORDOBA,1,CAPITAL,12E,FERREYRA,1,2357,2357,335,
ESC MUNIC BRIG JUAN I DE S MAR,BRAGADO/TRENQUE LAUQUEN,,4,CORDOBA,1,CAPITAL,12F,JOSE HERNANDEZ,7,2367,2373,2401,
COL.JOVENES ARGENTINOS,BOTAFOGO J.ESPINOSA 3448,,4,CORDOBA,1,CAPITAL,12F,JOSE HERNANDEZ,7,2393,2399,2401,
ESC FRANCISCO A RIZZUTO,FDO DE LESSEPS 140,,4,CORDOBA,1,CAPITAL,13A,AYACUCHO,13,2527,2539,4433,
COL HIJAS DE MARIA INMACULADA,MADRE BRIGIDA PASTORINO 2733,,4,CORDOBA,1,CAPITAL,13H,PATRICIOS,15,2710,2724,5160,
ESC GDOR H DEL CASTILLO,GELLY Y OBES   VILLA AZALAIS 3110,,4,CORDOBA,1,CAPITAL,13J,VILLA AZALAIS,9,2791,2799,3123,
ESC BRIG SAN MARTIN,DOMINGO MARIMON/GABRIEL ORTEGA,,4,CORDOBA,1,CAPITAL,14A,ARGUELLO NORTE,13,2918,2930,4493,
ESC HUGO LEONELLI,ALBERTO FAGE/JULIO BEJANELE,,4,CORDOBA,1,CAPITAL,14A,ARGUELLO NORTE,9,2943,2951,3105,
INST CONCEPCIONISTA LA INMACUL,AV ENRIQUE BODEREAU KM 14,,4,CORDOBA,1,CAPITAL,14C,ARGUELLO SEGUNDO,15,2992,3006,5006,
ESC GERONIMO GRAGERA,MOLLEYACO/PAYEN,,4,CORDOBA,1,CAPITAL,14E,CERRO NORTE,5,3042,3046,1660,
ESC JAVIER LAZCANO COLODRERO,CARLOS BROGGI S/N°,,4,CORDOBA,1,CAPITAL,14F,GRANJA DE FUNES,9,3058,3066,3042,
ESC ARTEMIO ARAN,PUBLICA ESQ JACINTO YABEN,,4,CORDOBA,1,CAPITAL,14H,MERCANTIL,9,3095,3103,2998,
ESC MUNIC MAESTRO M OLIVA,REVELTO ESQ TOMASINI,,4,CORDOBA,1,CAPITAL,14H,MERCANTIL,5,3104,3108,1665,
ESC MUNIC DR RAUL FERNANDEZ,12 Y 14 VILLA ALLENDE PQUE,,4,CORDOBA,1,CAPITAL,14K,VILLA ALLENDE PARQUE,8,3149,3156,2662,
IPEM 16 MA.SALEME DE BURNICHON,AL LADO ESC. H. GARCIA,,4,CORDOBA,1,CAPITAL,14N,VILLA CORNU,6,3211,3216,2004,
ESC MUNIC DR JORGE ORGAZ,LAGUNA LARGA/R LUNA,,4,CORDOBA,1,CAPITAL,14P,VILLA RIVERA INDARTE,7,3240,3246,2257,
ESC PROV D VELEZ SARFIELD,AYLLU,,4,CORDOBA,2,CALAMUCHITA,15,AMBOY,1,3255,3255,253,
ESC PROV. M.BELGRANO,PUBLICA S/N,,4,CORDOBA,2,CALAMUCHITA,16,ATHOS PAMPA,1,3258,3258,165,
ESC. PROV. L. LUGONES,PUBLICA,,4,CORDOBA,2,CALAMUCHITA,18A,LUTTI,1,3289,3289,157,
