escuela,direccion,barrio,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,ciudad,provincia,pais,geo,Latitud,Longitud,Encontrado,Calidad,Origen
INST EDUC NTRA SEÑORA,INCA MANCO 3450,B°JARDIN ESPINOSA,1,CAPITAL,4B,VILLA REVOL,19,246,264,6536,Córdoba,Córdoba,Argentina,"INCA MANCO 3450, Córdoba, Córdoba, Argentina",-31.4544491,-64.1744191,"Inca Manco 3450, X5014HMB Córdoba, Argentina",Match,Google
ESC EJERCITO ARGENTINO,CASTAÑARES  470,B°JARDIN DEL PILAR,1,CAPITAL,12F,JOSE HERNANDEZ,8,2385,2392,2744,Córdoba,Córdoba,Argentina,"CASTAÑARES  470, Córdoba, Córdoba, Argentina",-31.4064306,-64.1512363,"Castañares 470, Córdoba, Argentina",Match,Google
ESC PANAMERICANA,SOTO   919,B°ACOSTA,1,CAPITAL,5,ALTAMIRA,9,349,357,3058,Córdoba,Córdoba,Argentina,"SOTO   919, Córdoba, Córdoba, Argentina",-31.4208056,-64.1255297,"Soto 919, X5006HZE Córdoba, Argentina",Match,Google
ESC   RABINDRANAT TAGORE,OCARINA 1613,B° V CLAUDINA,1,CAPITAL,8,LA FLORESTA NORTE,3,897,899,784,Córdoba,Córdoba,Argentina,"OCARINA 1613, Córdoba, Córdoba, Argentina",-31.3896804,-64.1232075,"Ocarina 1613, Córdoba, Argentina",Match,Google
COL NICOLAS BERROTARAN,ELIAS YOFRE 1095,B° JARDIN,1,CAPITAL,4B,VILLA REVOL,11,274,284,3775,Córdoba,Córdoba,Argentina,"ELIAS YOFRE 1095, Córdoba, Córdoba, Argentina",-31.4508053,-64.1794041,"Elías Yofre 1095, Córdoba, Argentina",Match,Google
ESC B DE MONTEAGUDO,SAN LUIS  345,,1,CAPITAL,11E,LOS PLATANOS,12,1855,1866,4152,Córdoba,Córdoba,Argentina,"SAN LUIS  345, Córdoba, Córdoba, Argentina",-31.4218363,-64.1916494,"San Luis 345, Córdoba, Argentina",Match,Google
INST ESCUTI,NAZARET  3399,,1,CAPITAL,9,ESCOBAR,10,1003,1012,3284,Córdoba,Córdoba,Argentina,"NAZARET  3399, Córdoba, Córdoba, Argentina",-31.3902179,-64.2303807,"Nazaret 3399, Córdoba, Argentina",Match,Google
ESC   SANTISIMA TRINIDAD,BLAMEY LAFORE 1248,,1,CAPITAL,11D,LOS NARANJOS,8,1847,1854,2736,Córdoba,Córdoba,Argentina,"BLAMEY LAFORE 1248, Córdoba, Córdoba, Argentina",-31.422278,-64.2220809,"Blamey Lafore 1248, X5010AVD Córdoba, Argentina",Match,Google
CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,,1,CAPITAL,1,SECCIONAL PRIMERA,7,1,7,2401,Córdoba,Córdoba,Argentina,"DEAN FUNES 417, Córdoba, Córdoba, Argentina",-31.414351,-64.1897475,"Deán Funes 417, X5000AAI Córdoba, Argentina",Match,Google
ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,,1,CAPITAL,1,SECCIONAL PRIMERA,12,8,19,4116,Córdoba,Córdoba,Argentina,"BELGRANO 269, Córdoba, Córdoba, Argentina",-31.4179066,-64.1894514,"Belgrano 269, X5000JQE Córdoba, Argentina",Match,Google
COL NAC DE MONSERRAT,OBISPO TREJO 294,,1,CAPITAL,1,SECCIONAL PRIMERA,18,20,37,6158,Córdoba,Córdoba,Argentina,"OBISPO TREJO 294, Córdoba, Córdoba, Argentina",-31.4189817,-64.1867577,"Obispo Trejo 294, X5000IYF Córdoba, Argentina",Match,Google
ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,,1,CAPITAL,3,SECCIONAL TERCERA,15,66,80,5175,Córdoba,Córdoba,Argentina,"SANTA ROSA 650, Córdoba, Córdoba, Argentina",-31.4096902,-64.1913409,"Sta Rosa 650, X5000ESN Córdoba, Argentina",Match,Google
IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,,1,CAPITAL,3,SECCIONAL TERCERA,11,81,91,3795,Córdoba,Córdoba,Argentina,"DEAN FUNES 850, Córdoba, Córdoba, Argentina",-31.4126441,-64.1954103,"Deán Funes 850, X5000AAR Córdoba, Argentina",Match,Google
ESC SANTO TOMAS,CASEROS 745,,1,CAPITAL,3,SECCIONAL TERCERA,8,92,99,2760,Córdoba,Córdoba,Argentina,"CASEROS 745, Córdoba, Córdoba, Argentina",-31.4153623,-64.1949891,"Caseros 745, X5000AHO Córdoba, Argentina",Match,Google
ESC NORMAL ALEJANDRO CARBO,AV COLON 951,,1,CAPITAL,3,SECCIONAL TERCERA,13,100,112,4474,Córdoba,Córdoba,Argentina,"AV COLON 951, Córdoba, Córdoba, Argentina",-31.4099921,-64.1959734,"Av. Colón 951, X5000EPJ Córdoba, Argentina",Match,Google
COL NACIONAL DEAN FUNES,PERU 10,,1,CAPITAL,4,NUEVA CORDOBA,20,126,145,6900,Córdoba,Córdoba,Argentina,"PERU 10, Córdoba, Córdoba, Argentina",-31.4307656,-64.1904995,"Perú 10, X5000CGB Córdoba, Argentina",Match,Google
IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,,1,CAPITAL,4,NUEVA CORDOBA,14,146,159,4830,Córdoba,Córdoba,Argentina,"HIPOLITO YRIGOYEN 258, Córdoba, Córdoba, Argentina",-31.4233831,-64.1874695,"Av. Hipólito Yrigoyen 258, X5000JHP Córdoba, Argentina",Match,Google
ESC SAN FRANCISCO DE ASIS,GUARDADO 184,B°LAS FLORES,1,CAPITAL,4A,PUEBLO LAS FLORES,30,209,238,10351,Córdoba,Córdoba,Argentina,"GUARDADO 184, Córdoba, Córdoba, Argentina",-31.4535084,-64.1988851,"Jose Guardado 108, Las Flores, 5016 Córdoba, Argentina",Match,Google
COL 20 DE JUNIO,BV DEL COMERCIO 835,,1,CAPITAL,4B,VILLA REVOL,7,239,245,2408,Córdoba,Córdoba,Argentina,"BV DEL COMERCIO 835, Córdoba, Córdoba, Argentina",-31.4434607,-64.1838748,"Del Comercio 835, X5016JSC Córdoba, Argentina",Match,Google
IPEN 310- PUERTO ARGENTINO,LUDUEÑA Y SARGENTO RIOS,,1,CAPITAL,4C,INAUDI,8,291,298,2656,Córdoba,Córdoba,Argentina,"LUDUEÑA Y SARGENTO RIOS, Córdoba, Córdoba, Argentina",-31.4751514,-64.192706,"Ludueña & Sgto Ríos, Córdoba, Argentina",Match,Google
ESC ESTANISLAO DEL CAMPO,ESTADOS UNIDOS Y RIO PRIMERO,B°ALTAMIRA,1,CAPITAL,5,ALTAMIRA,5,358,362,1695,Córdoba,Córdoba,Argentina,"ESTADOS UNIDOS Y RIO PRIMERO, Córdoba, Córdoba, Argentina",-31.4235246,-64.1324433,"Estados Unidos & Río Primero, X5006 Córdoba, Argentina",Match,Google
ELENA LOPEZ LALLANA,AGUSTIN GARZON 5600,,1,CAPITAL,5A,COLONIA LOLA,10,369,378,3324,Córdoba,Córdoba,Argentina,"AGUSTIN GARZON 5600, Córdoba, Córdoba, Argentina",-31.4273333,-64.114635,"Agustín Garzón 5600, X5006AZN Córdoba, Argentina",Match,Google
ESC PROVINCIA DE LA RIOJA,JUNIN 3480,,1,CAPITAL,5C,EMPALME,12,385,396,4164,Córdoba,Córdoba,Argentina,"JUNIN 3480, Córdoba, Córdoba, Argentina",-31.4283174,-64.1402297,"Junín 3480, Córdoba, Argentina",Match,Google
ESC VICTOR MERCANTE,CAUCETE 4008,,1,CAPITAL,5C,EMPALME,11,397,407,3817,Córdoba,Córdoba,Argentina,"CAUCETE 4008, Córdoba, Córdoba, Argentina",-31.4323407,-64.1337582,"Caucete 4008, Córdoba, Argentina",Match,Google
ESC JUAN M DE PUEYRREDON,ANCASTI 4555,,1,CAPITAL,5C,EMPALME,7,408,414,2429,Córdoba,Córdoba,Argentina,"ANCASTI 4555, Córdoba, Córdoba, Argentina",-31.4397397,-64.1264477,"Ancasti 4555, X5006AFA Córdoba, Argentina",Match,Google
INST SEC EMPALME GONZALEZ LACA,LAS ARRIAS 4043,,1,CAPITAL,5C,EMPALME,5,415,419,1735,Córdoba,Córdoba,Argentina,"LAS ARRIAS 4043, Córdoba, Córdoba, Argentina",-31.4294555,-64.1290745,"Las Arrias 4043, Córdoba, Argentina",Match,Google
FRAY JUSTO STA MARÍA DE ORO,CALLAO 2320,,1,CAPITAL,5C,EMPALME,12,420,431,4163,Córdoba,Córdoba,Argentina,"CALLAO 2320, Córdoba, Córdoba, Argentina",-31.4355144,-64.1203545,"Callao 2320, X5006IVH Córdoba, Argentina",Match,Google
ELENA LOPEZ LALLANA,AGUSTÍN GARZON 5636,,1,CAPITAL,5C,EMPALME,6,432,437,2076,Córdoba,Córdoba,Argentina,"AGUSTÍN GARZON 5636, Córdoba, Córdoba, Argentina",-31.4273344,-64.1144482,"Agustín Garzón 5636, X5006AZN Córdoba, Argentina",Match,Google
ESC CANONIGO PIÑERO,CAMPO LA RIBERA,,1,CAPITAL,5D,MALDONADO,6,438,443,2046,Córdoba,Córdoba,Argentina,"CAMPO LA RIBERA, Córdoba, Córdoba, Argentina",-31.4085553,-64.1331233,"Sta Fe 49, X5022ABB Córdoba, Argentina",Match,Google
BAC TEC DR F ESCARDO,CAMPO LA RIBERA,,1,CAPITAL,5D,MALDONADO,9,453,461,3068,Córdoba,Córdoba,Argentina,"CAMPO LA RIBERA, Córdoba, Córdoba, Argentina",-31.4085553,-64.1331233,"Sta Fe 49, X5022ABB Córdoba, Argentina",Match,Google
ESC TTE GRAL P RICCHIERI,BENJAMIN VIEL 2387,,1,CAPITAL,5E,VILLA BUSTOS,12,471,482,4072,Córdoba,Córdoba,Argentina,"BENJAMIN VIEL 2387, Córdoba, Córdoba, Argentina",-31.436106,-64.113314,"Benjamín Viel 2387, X5006GNC Córdoba, Argentina",Match,Google
ESC SANTA MARGARITA DE CORTONA,LOPEZ Y PLANES 2936,,1,CAPITAL,5G,SAN VICENTE,10,497,506,3430,Córdoba,Córdoba,Argentina,"LOPEZ Y PLANES 2936, Córdoba, Córdoba, Argentina",-31.4214533,-64.1461609,"López y Planes 2936, X5006ENR Córdoba, Argentina",Match,Google
ESC DGO F SARMIENTO,LOPEZ Y PLANES 2253,,1,CAPITAL,5G,SAN VICENTE,14,507,520,4788,Córdoba,Córdoba,Argentina,"LOPEZ Y PLANES 2253, Córdoba, Córdoba, Argentina",-31.4206285,-64.1545907,"López y Planes 2253, X5006ENC Córdoba, Argentina",Match,Google
ESC PTE RIVADAVIA,AGUSTIN GARZON 1563,,1,CAPITAL,5G,SAN VICENTE,12,521,532,4104,Córdoba,Córdoba,Argentina,"AGUSTIN GARZON 1563, Córdoba, Córdoba, Argentina",-31.4242154,-64.1632529,"Agustín Garzón 1563, X5006FUK Córdoba, Argentina",Match,Google
ESC MARIA IGNACIA NAVARRO DE L,CORRIENTES 2006,,1,CAPITAL,5G,SAN VICENTE,10,533,542,3420,Córdoba,Córdoba,Argentina,"CORRIENTES 2006, Córdoba, Córdoba, Argentina",-31.4257425,-64.1583923,"Corrientes 2006, Córdoba, Argentina",Match,Google
ESC. MADRE MARIA DEL TRANSITO,"MANZANA 7,",,1,CAPITAL,5H,VILLA BOEDO,6,543,548,1944,Córdoba,Córdoba,Argentina,"MANZANA 7,, Córdoba, Córdoba, Argentina",-31.3836449,-64.270119,"Manzana 7, Córdoba, Argentina",Match,Google
ESC.PTE. JUAN D.PERÓN,MANZANA 47,,1,CAPITAL,5I,COLINAS DEL SUR,7,557,563,2383,Córdoba,Córdoba,Argentina,"MANZANA 47, Córdoba, Córdoba, Argentina",-31.3718051,-64.2644727,"Manzana 47, Córdoba, Argentina",Match,Google
ESC RAMON J CARCANO,VIAMONTE 446,,1,CAPITAL,6C,GRAL PAZ,11,582,592,3806,Córdoba,Córdoba,Argentina,"VIAMONTE 446, Córdoba, Córdoba, Argentina",-31.6622573,-64.4499421,"Viamonte 446, Alta Gracia, Córdoba, Argentina",Match,Google
ESC NORMAL GARZON AGULLA,VIAMONTE 150,,1,CAPITAL,6C,GRAL PAZ,14,593,606,4844,Córdoba,Córdoba,Argentina,"VIAMONTE 150, Córdoba, Córdoba, Argentina",-32.4061601,-63.2320006,"Viamonte 150, Villa María, Córdoba, Argentina",Match,Google
IPET N°10 COM MARTIN RIVADAVIA,25 DE MAYO Y ROMA,,1,CAPITAL,6C,GRAL PAZ,10,607,616,3457,Córdoba,Córdoba,Argentina,"25 DE MAYO Y ROMA, Córdoba, Córdoba, Argentina",-31.4141441,-64.1631704,"25 de Mayo & Roma, Córdoba, Argentina",Match,Google
ESC GDOR AMADEO SABATTINI,GERMANIA 2500,,1,CAPITAL,6F,YAPEYU,12,658,669,4081,Córdoba,Córdoba,Argentina,"GERMANIA 2500, Córdoba, Córdoba, Argentina",-31.4132874,-64.1503032,"Germania 2500, X5004GEP Córdoba, Argentina",Match,Google
IPEM N° 22 JUAN FILLOY,CALLE DE LA CUECA,,1,CAPITAL,7A,GUIÑAZU,6,671,676,2040,Córdoba,Córdoba,Argentina,"CALLE DE LA CUECA, Córdoba, Córdoba, Argentina",-31.3151305,-64.1807661,"De la Cueca, Córdoba, Argentina",Match,Google
ESC PCIA DE ENTRE RIOS,TRAFALGAR 845,,1,CAPITAL,7B,ALTA CORDOBA,11,710,720,3795,Córdoba,Córdoba,Argentina,"TRAFALGAR 845, Córdoba, Córdoba, Argentina",-31.386414,-64.1857875,"Trafalgar 845, X5001AVQ Córdoba, Argentina",Match,Google
INST MANUEL LUCERO,LAVALLEJA 2257,,1,CAPITAL,7B,ALTA CORDOBA,9,748,756,3096,Córdoba,Córdoba,Argentina,"LAVALLEJA 2257, Córdoba, Córdoba, Argentina",-32.1732917,-64.1507854,"Lavalleja 2257, Río Tercero, Córdoba, Argentina",Match,Google
ESC. GARCIA FAURE,JERONIMO LUIS DE CABRERA 834,,1,CAPITAL,7D,COFICO,10,777,786,3370,Córdoba,Córdoba,Argentina,"JERONIMO LUIS DE CABRERA 834, Córdoba, Córdoba, Argentina",-31.3961672,-64.1878772,"Jerónimo Luis de Cabrera 834, X5000GVR Córdoba, Argentina",Match,Google
J DE INF B.RIVADAVIA,NUFLO DE AGUILAR 541,,1,CAPITAL,7E,MARQUES DE SOBREMONTE,3,817,819,1038,Córdoba,Córdoba,Argentina,"NUFLO DE AGUILAR 541, Córdoba, Córdoba, Argentina",-31.3638669,-64.195522,"Nuflo de Aguilar 541, Córdoba, Argentina",Match,Google
ESC GOBERNADOR MANUEL LOPEZ,URQUIZA 4800,,1,CAPITAL,7G,PANAMERICANO,7,859,865,2373,Córdoba,Córdoba,Argentina,"URQUIZA 4800, Córdoba, Córdoba, Argentina",-31.3594444,-64.1853568,"Justo José de Urquiza 4800, Córdoba, Argentina",Match,Google
INST SAGRADO CORAZON,ROMA 1153,B°PUEYRREDON,1,CAPITAL,8B,PUEYRREDON,10,937,946,3438,Córdoba,Córdoba,Argentina,"ROMA 1153, Córdoba, Córdoba, Argentina",-31.4031226,-64.1672678,"Roma 1153, X5004BBE Córdoba, Argentina",Match,Google
ESC ROBLES,PADRE LUIS MONTI 1850,B°PUEYRREDON,1,CAPITAL,8B,PUEYRREDON,13,947,959,4459,Córdoba,Córdoba,Argentina,"PADRE LUIS MONTI 1850, Córdoba, Córdoba, Argentina",-31.3996569,-64.1641974,"Padre Luis Monti 1850, X5004ENJ Córdoba, Argentina",Match,Google
INST SAGRADA FAMILIA,BUCHARDO 1729,,1,CAPITAL,8B,PUEYRREDON,10,960,969,3430,Córdoba,Córdoba,Argentina,"BUCHARDO 1729, Córdoba, Córdoba, Argentina",-31.4029817,-64.1649066,"Buchardo 1729, Córdoba, Argentina",Match,Google
ESC PROVINCIA DE CORRIENTES,DOMINGO ZIPOLI 1358,,1,CAPITAL,9,ESCOBAR,8,995,1002,2632,Córdoba,Córdoba,Argentina,"DOMINGO ZIPOLI 1358, Córdoba, Córdoba, Argentina",-31.392106,-64.2181456,"Domingo Zipoli 1358, X5008JSJ Córdoba, Argentina",Match,Google
ESC MAHATMA GANDHI,TALAVERA DE MADRID 3261,,1,CAPITAL,9A,LA FRANCE,7,1013,1019,2331,Córdoba,Córdoba,Argentina,"TALAVERA DE MADRID 3261, Córdoba, Córdoba, Argentina",-31.374666,-64.2078506,"Talavera de Madrid 3261, X5008HDC Córdoba, Argentina",Match,Google
COL PQUIAL C NAMUNCURA,DIAGUITAS 3314,,1,CAPITAL,9A,LA FRANCE,8,1020,1027,2656,Córdoba,Córdoba,Argentina,"DIAGUITAS 3314, Córdoba, Córdoba, Argentina",-31.3734082,-64.209736,"Diaguitas 3314, X5008GYF Córdoba, Argentina",Match,Google
ESC DE COMERCIO J J PASO,PLATON 3030,B°LOS PARAISOS,1,CAPITAL,9C,LOS PARAISOS,10,1052,1061,3440,Córdoba,Córdoba,Argentina,"PLATON 3030, Córdoba, Córdoba, Argentina",-31.3778666,-64.2003543,"Platon 3030, X5008IUH Córdoba, Argentina",Match,Google
COL EL SALVADOR,RAUL CASARIEGO 4479,B°P LUGONES,1,CAPITAL,9D,POETA LUGONES,8,1093,1100,2744,Córdoba,Córdoba,Argentina,"RAUL CASARIEGO 4479, Córdoba, Córdoba, Argentina",-31.3627072,-64.2077497,"Raúl Casariego 4479, X5008BZK Córdoba, Argentina",Match,Google
INSTITUTO PEÑA,CIUDAD DE TAMPA 2954,,1,CAPITAL,9G,VILLA CABRERA,11,1180,1190,3795,Córdoba,Córdoba,Argentina,"CIUDAD DE TAMPA 2954, Córdoba, Córdoba, Argentina",-31.3837923,-64.2173076,"Cd. de Tampa 2954, X5009BXJ Córdoba, Argentina",Match,Google
ESC PRESIDENTE KENNEDY,JULIAN PAZ 1851,,1,CAPITAL,9G,VILLA CABRERA,6,1191,1196,2064,Córdoba,Córdoba,Argentina,"JULIAN PAZ 1851, Córdoba, Córdoba, Argentina",-31.3883457,-64.2084922,"Julián Paz 1851, X5008JXE Córdoba, Argentina",Match,Google
ESC ROQUE SAENZ PEÑA,AV VELEZ SARSFIELD 1000,,1,CAPITAL,10,BELLA VISTA,14,1197,1210,4814,Córdoba,Córdoba,Argentina,"AV VELEZ SARSFIELD 1000, Córdoba, Córdoba, Argentina",-31.4265407,-64.1914743,"Av. Vélez Sarsfield 1000, X5000JJX Córdoba, Argentina",Match,Google
E.N.E.T. N°1 DR A SABATTINI,AV VELEZ SARSFIELD 1490,,1,CAPITAL,10,BELLA VISTA,10,1230,1239,3430,Córdoba,Córdoba,Argentina,"AV VELEZ SARSFIELD 1490, Córdoba, Córdoba, Argentina",-31.4321917,-64.1938794,"Av. Vélez Sarsfield 1490, Córdoba, Argentina",Match,Google
ESC MANUEL BELGRANO,SUECIA B° PQUE VELEZ SARSFIELD 2832,,1,CAPITAL,10,BELLA VISTA,10,1240,1249,3430,Córdoba,Córdoba,Argentina,"SUECIA B° PQUE VELEZ SARSFIELD 2832, Córdoba, Córdoba, Argentina",-31.4420957,-64.2024969,"Av Naciones Unidas 510, Parque Vélez Sarsfield, X5016KEL Córdoba, Argentina",Match,Google
ESC PCIA DE CATAMARCA,AV VELEZ SARSFIELD 3200,,1,CAPITAL,10B,CIUDADELA,17,1265,1281,5761,Córdoba,Córdoba,Argentina,"AV VELEZ SARSFIELD 3200, Córdoba, Córdoba, Argentina",-31.447304,-64.1990799,"Av. Vélez Sarsfield 3200, X5016GDQ Córdoba, Argentina",Match,Google
ESC REPUBLICA DE SIRIA,TRAFUL 908,,1,CAPITAL,10B,CIUDADELA,6,1282,1287,2028,Córdoba,Córdoba,Argentina,"TRAFUL 908, Córdoba, Córdoba, Argentina",-31.4528824,-64.2104363,"Traful 908, Córdoba, Argentina",Match,Google
IPEM 183 PEDRO B.PALACIOS,REALICO 2407,,1,CAPITAL,10D,CONGRESO,4,1329,1332,1270,Córdoba,Córdoba,Argentina,"REALICO 2407, Córdoba, Córdoba, Argentina",-31.46618,-64.234453,"Córdoba, Cordoba, Argentina",Match,Google
ESC CADETES FUERZA AEREA,LEOPOLDO CASAVEGA 2320,,1,CAPITAL,10E,ESTACION FLORES,11,1333,1343,3740,Córdoba,Córdoba,Argentina,"LEOPOLDO CASAVEGA 2320, Córdoba, Córdoba, Argentina",-31.4360572,-64.2511938,"Leopoldo Casavega 2320, Córdoba, Argentina",Match,Google
ESC PADRE BURON,AVIADOR MIRA 2658,,1,CAPITAL,10E,ESTACION FLORES,8,1344,1351,2718,Córdoba,Córdoba,Argentina,"AVIADOR MIRA 2658, Córdoba, Córdoba, Argentina",-31.4395174,-64.2491474,"Aviador Mira 2658, X5011CQP Córdoba, Argentina",Match,Google
J DE INF CADETES FUERZA AEREA,LEOPOLDO CASAVEGA 2320,,1,CAPITAL,10E,ESTACION FLORES,2,1352,1353,678,Córdoba,Córdoba,Argentina,"LEOPOLDO CASAVEGA 2320, Córdoba, Córdoba, Argentina",-31.4360572,-64.2511938,"Leopoldo Casavega 2320, Córdoba, Argentina",Match,Google
ESC   ALAS ARGENTINA,BONN 4627,,1,CAPITAL,10E,ESTACION FLORES,11,1354,1364,3729,Córdoba,Córdoba,Argentina,"BONN 4627, Córdoba, Córdoba, Argentina",-31.4507846,-64.2471464,"Bonn 4627, X5011FRI Córdoba, Argentina",Match,Google
ESC REPUBLICA ARGENTINA,SAN CAYETANO Y BRAILE,,1,CAPITAL,10F,MATIENZO,7,1394,1400,2429,Córdoba,Córdoba,Argentina,"SAN CAYETANO Y BRAILE, Córdoba, Córdoba, Argentina",-31.409554,-64.193152,"Sta Rosa 763, X5000ESO Córdoba, Argentina",Match,Google
ESC MIGUEL A ZABALA ORTIZ,DIAZ DE LA FUENTE 3101,,1,CAPITAL,10F,MATIENZO,7,1401,1407,2423,Córdoba,Córdoba,Argentina,"DIAZ DE LA FUENTE 3101, Córdoba, Córdoba, Argentina",-31.4444124,-64.2370036,"Díaz de la Fuente 3101, Córdoba, Argentina",Match,Google
E.N.E.T. N° 4 COPERNICO,MARIANO MORENO 551,,1,CAPITAL,10G,OBSERVATORIO,26,1408,1433,9011,Córdoba,Córdoba,Argentina,"MARIANO MORENO 551, Córdoba, Córdoba, Argentina",-31.4188413,-64.2000037,"Mariano Moreno 551, X5000MRK Córdoba, Argentina",Match,Google
EE UU DE NORTEAMERICA,LA PAMPA 550,,1,CAPITAL,10G,OBSERVATORIO,9,1434,1442,3114,Córdoba,Córdoba,Argentina,"LA PAMPA 550, Córdoba, Córdoba, Argentina",-31.4176644,-64.2052027,"La Pampa 550, Córdoba, Argentina",Match,Google
COL   NUESTRA SEÑORA DE NIEVA,AYACUCHO 442,,1,CAPITAL,10G,OBSERVATORIO,18,1443,1460,6228,Córdoba,Córdoba,Argentina,"AYACUCHO 442, Córdoba, Córdoba, Argentina",-31.419802,-64.191748,"Ayacucho 442, X5000JUJ Córdoba, Argentina",Match,Google
ESC R ESCALADA DE SAN MARTIN,ESPORA 2283,,1,CAPITAL,10H,PARQUE CAPITAL,14,1479,1492,4732,Córdoba,Córdoba,Argentina,"ESPORA 2283, Córdoba, Córdoba, Argentina",-31.436693,-64.2266142,"Espora 2283, X5011AZG Córdoba, Argentina",Match,Google
INST. SAN JOSE ARTESANO,CORONDA ESQ HUILICHES,,1,CAPITAL,10I,PARQUE HORIZONTE,6,1518,1523,2022,Córdoba,Córdoba,Argentina,"CORONDA ESQ HUILICHES, Córdoba, Córdoba, Argentina",-31.4563405,-64.2133828,"Huiliches & Coronda, Córdoba, Argentina",Match,Google
ESC PTE DR ARTURO U ILLIA,TOTORAL Y ARICA,B°SANTA ROSA,1,CAPITAL,10L,VILLA EL LIBERTADOR,11,1622,1632,3817,Córdoba,Córdoba,Argentina,"TOTORAL Y ARICA, Córdoba, Córdoba, Argentina",-31.4773743,-64.207176,"Arica & Totoral, Córdoba, Argentina",Match,Google
J DE INF DR ARTURO U ILLIA,ARICA Y TOTORAL,,1,CAPITAL,10L,VILLA EL LIBERTADOR,4,1639,1642,1388,Córdoba,Córdoba,Argentina,"ARICA Y TOTORAL, Córdoba, Córdoba, Argentina",-31.4773743,-64.207176,"Arica & Totoral, Córdoba, Argentina",Match,Google
ESC SAN JOSE,CASEROS 3055,,1,CAPITAL,11A,ALTO ALBERDI,11,1716,1726,3806,Córdoba,Córdoba,Argentina,"CASEROS 3055, Córdoba, Córdoba, Argentina",-31.4061331,-64.2229109,"Caseros 3055, X5002AEC Córdoba, Argentina",Match,Google
ESC SAN LUIS GONZAGA,SANTA ROSA 2037,,1,CAPITAL,11A,ALTO ALBERDI,9,1727,1735,3114,Córdoba,Córdoba,Argentina,"SANTA ROSA 2037, Córdoba, Córdoba, Argentina",-31.4047635,-64.2091534,"Sta Rosa 2037, X5003CEI Córdoba, Argentina",Match,Google
ESC JOSE MARIA PAZ,AV COLON 2772,,1,CAPITAL,11A,ALTO ALBERDI,15,1736,1750,5190,Córdoba,Córdoba,Argentina,"AV COLON 2772, Córdoba, Córdoba, Argentina",-31.4030262,-64.2179278,"Av. Colón 2772, X5003DCY Córdoba, Argentina",Match,Google
ESC GRAL SAN MARTIN,AV COLON 4751,,1,CAPITAL,11C,LAS PALMAS,16,1775,1790,5435,Córdoba,Córdoba,Argentina,"AV COLON 4751, Córdoba, Córdoba, Argentina",-31.3960815,-64.2425844,"Av. Colón 4751, Córdoba, Argentina",Match,Google
ESC MUNIC JUSTO PAEZ MOLINA,QUEBRACHO HERRADO Y YAVI,,1,CAPITAL,11C,LAS PALMAS,7,1805,1811,2373,Córdoba,Córdoba,Argentina,"QUEBRACHO HERRADO Y YAVI, Córdoba, Córdoba, Argentina",-31.4018927,-64.2437531,"Yavi & Quebracho Herrado, Córdoba, Argentina",Match,Google
ESC JOSE MARMOL,AV LOS PLATANOS 1346,,1,CAPITAL,11E,LOS PLATANOS,12,1867,1878,4152,Córdoba,Córdoba,Argentina,"AV LOS PLATANOS 1346, Córdoba, Córdoba, Argentina",-31.4229683,-64.2309119,"Av. los Platanos 1346, X5010BKU Córdoba, Argentina",Match,Google
ESC.MUNIC.DR.CARLOS BECERRA,GAONA 1285,,1,CAPITAL,11E,LOS PLATANOS,6,1896,1901,2070,Córdoba,Córdoba,Argentina,"GAONA 1285, Córdoba, Córdoba, Argentina",-31.4216183,-64.2324012,"Gaona 1285, X5010BNM Córdoba, Argentina",Match,Google
IPEM 205 HUGO PALLADINO,27 DE ABRIL 5330,,1,CAPITAL,11F,LOS ROBLES,12,1902,1913,4008,Córdoba,Córdoba,Argentina,"27 DE ABRIL 5330, Córdoba, Córdoba, Argentina",-31.3950637,-64.2512431,"27 de Abril 5330, Córdoba, Argentina",Match,Google
COL SAN BUENAVENTURA,AV DON BOSCO 5001,,1,CAPITAL,11F,LOS ROBLES,4,1914,1917,1335,Córdoba,Córdoba,Argentina,"AV DON BOSCO 5001, Córdoba, Córdoba, Argentina",-31.403251,-64.2493284,"Av. Don Bosco 5001, Córdoba, Argentina",Match,Google
ESC BATERIA LIBERTAD,POTRERILLO Y VENTA Y MEDIA,,1,CAPITAL,11F,LOS ROBLES,9,1918,1926,2997,Córdoba,Córdoba,Argentina,"POTRERILLO Y VENTA Y MEDIA, Córdoba, Córdoba, Argentina",-31.3996801,-64.2535187,"Venta y Media & Potrerillos, Córdoba, Argentina",Match,Google
ESC PRIMER TTE AVILA,QUINCHAN 1070,,1,CAPITAL,11G,PARQUE REPUBLICA,8,1927,1934,2776,Córdoba,Córdoba,Argentina,"QUINCHAN 1070, Córdoba, Córdoba, Argentina",-31.4159072,-64.2626808,"Quinchan 1070, Córdoba, Argentina",Match,Google
