mesa,url_gob,id_ubicacion,id_publicacion,cant_mesas_procesadas,hora_proceso,clase_ubicacion,cant_votantes,cant_votos_positivos,porcentaje_mesas_procesadas,descripcion_ubicacion,Partido Unión Ciudadana,Vecinalismo Independiente,Movimiento Avanzada Socialista,MST - Nueva Izquierda,Córdoba Cambia,Frente de Izquierda y de los Trabajadores,Hacemos por Córdoba,Unión Cívica Radical,Unite por la Libertad y la Dignidad,Encuentro Vecinal Córdoba,Política Abierta para la Integridad Social (P.A.I.S.),Movimiento de Acción Vecinal,Movimiento Libres del Sur,Voto en BLANCO,Votos IMPUGNADOS,Votos NULOS,Votos RECURRIDOS,cargo,porcentaje_participacion,cant_votos_negativos
1739,https://datosoficiales.com.ar/resultados/CO/1/112/151/1739/INT.json,CO.1.112.151.1739,54,1,2019-05-12 23:05:01,Mesa,235,225,100.0,1739,4,1,2,4,58,16,66,39,0,1,0,1,13,20,0,10,0,INT,68.7134,10
1740,https://datosoficiales.com.ar/resultados/CO/1/112/151/1740/INT.json,CO.1.112.151.1740,50,1,2019-05-12 22:45:02,Mesa,229,224,100.0,1740,5,2,2,6,40,16,73,48,5,15,0,0,0,12,0,5,0,INT,66.5697,5
1741,https://datosoficiales.com.ar/resultados/CO/1/112/152/1741/INT.json,CO.1.112.152.1741,43,1,2019-05-12 22:10:01,Mesa,245,238,100.0,1741,0,1,1,3,52,10,86,47,0,14,0,0,11,13,0,5,2,INT,72.4852,7
1742,https://datosoficiales.com.ar/resultados/CO/1/112/152/1742/INT.json,CO.1.112.152.1742,40,1,2019-05-12 21:55:01,Mesa,243,226,100.0,1742,1,1,0,3,51,4,75,44,0,21,0,2,11,13,0,17,0,INT,71.4705,17
1743,https://datosoficiales.com.ar/resultados/CO/1/112/152/1743/INT.json,CO.1.112.152.1743,39,1,2019-05-12 21:50:01,Mesa,271,262,100.0,1743,0,4,0,5,53,6,96,42,0,15,0,0,16,25,2,5,2,INT,80.6547,9
1744,https://datosoficiales.com.ar/resultados/CO/1/112/152/1744/INT.json,CO.1.112.152.1744,54,1,2019-05-12 23:05:01,Mesa,264,263,100.0,1744,3,2,0,4,60,7,78,62,1,16,1,0,15,14,0,1,0,INT,78.5714,1
1745,https://datosoficiales.com.ar/resultados/CO/1/112/152/1745/INT.json,CO.1.112.152.1745,41,1,2019-05-12 22:00:01,Mesa,252,239,100.0,1745,0,0,1,2,59,8,92,42,0,10,0,1,11,13,0,11,2,INT,74.5562,13
1746,https://datosoficiales.com.ar/resultados/CO/1/112/152/1746/INT.json,CO.1.112.152.1746,54,1,2019-05-12 23:05:01,Mesa,210,200,100.0,1746,0,3,1,1,25,6,83,54,0,9,0,0,15,3,0,8,2,INT,62.1301,10
1747,https://datosoficiales.com.ar/resultados/CO/1/112/152/1747/INT.json,CO.1.112.152.1747,46,1,2019-05-12 22:25:01,Mesa,267,267,100.0,1747,4,2,0,1,52,9,91,49,0,18,0,2,9,30,0,0,0,INT,79.2284,0
1748,https://datosoficiales.com.ar/resultados/CO/1/112/152/1748/INT.json,CO.1.112.152.1748,61,1,2019-05-12 23:40:01,Mesa,277,275,100.0,1748,7,5,0,13,77,5,83,47,1,18,0,0,0,19,1,1,0,INT,81.9526,2
1749,https://datosoficiales.com.ar/resultados/CO/1/112/152/1749/INT.json,CO.1.112.152.1749,55,1,2019-05-12 23:10:01,Mesa,220,219,100.0,1749,1,2,0,3,42,15,85,48,2,11,0,1,9,0,1,0,0,INT,64.8967,1
1750,https://datosoficiales.com.ar/resultados/CO/1/112/153/1750/INT.json,CO.1.112.153.1750,67,1,2019-05-13 00:10:01,Mesa,257,250,100.0,1750,4,3,2,1,51,8,89,51,0,12,1,0,12,16,1,5,1,INT,76.2611,7
1751,https://datosoficiales.com.ar/resultados/CO/1/112/153/1751/INT.json,CO.1.112.153.1751,51,1,2019-05-12 22:50:01,Mesa,252,240,100.0,1751,3,2,0,4,57,3,83,59,0,10,0,1,7,11,0,8,4,INT,75.0,12
1752,https://datosoficiales.com.ar/resultados/CO/1/112/153/1752/INT.json,CO.1.112.153.1752,56,1,2019-05-12 23:15:01,Mesa,249,240,100.0,1752,2,3,0,3,48,4,96,51,0,8,0,0,5,20,0,7,2,INT,73.4513,9
1753,https://datosoficiales.com.ar/resultados/CO/1/112/153/1753/INT.json,CO.1.112.153.1753,46,1,2019-05-12 22:25:01,Mesa,246,241,100.0,1753,1,2,0,4,46,13,74,47,0,23,0,0,16,15,0,5,0,INT,72.781,5
1754,https://datosoficiales.com.ar/resultados/CO/1/112/153/1754/INT.json,CO.1.112.153.1754,49,1,2019-05-12 22:40:01,Mesa,255,244,100.0,1754,2,1,0,4,63,8,65,49,1,11,1,3,18,18,0,11,0,INT,75.4437,11
1755,https://datosoficiales.com.ar/resultados/CO/1/112/153/1755/INT.json,CO.1.112.153.1755,96,1,2019-05-13 02:35:01,Mesa,244,233,100.0,1755,5,2,0,7,55,7,72,48,0,9,0,1,10,17,0,10,1,INT,72.4035,11
1756,https://datosoficiales.com.ar/resultados/CO/1/112/153/1756/INT.json,CO.1.112.153.1756,60,1,2019-05-12 23:35:01,Mesa,267,257,100.0,1756,2,4,1,3,65,0,93,44,0,14,0,0,11,20,0,6,4,INT,79.4642,10
1757,https://datosoficiales.com.ar/resultados/CO/1/112/153/1757/INT.json,CO.1.112.153.1757,68,1,2019-05-13 00:15:01,Mesa,238,232,100.0,1757,3,2,0,2,55,15,77,46,2,5,0,1,13,11,0,5,1,INT,70.8333,6
1758,https://datosoficiales.com.ar/resultados/CO/1/112/153/1758/INT.json,CO.1.112.153.1758,96,1,2019-05-13 02:35:01,Mesa,246,230,100.0,1758,2,4,1,6,45,15,73,43,1,14,0,0,11,15,0,8,8,INT,73.2142,16
1759,https://datosoficiales.com.ar/resultados/CO/1/112/153/1759/INT.json,CO.1.112.153.1759,56,1,2019-05-12 23:15:01,Mesa,259,246,100.0,1759,3,0,0,1,55,9,94,44,0,20,1,0,10,9,0,7,6,INT,76.8545,13
1760,https://datosoficiales.com.ar/resultados/CO/1/112/153/1760/INT.json,CO.1.112.153.1760,63,1,2019-05-12 23:50:01,Mesa,259,249,100.0,1760,1,4,0,2,59,8,80,47,0,18,0,0,13,17,0,5,5,INT,76.8545,10
1761,https://datosoficiales.com.ar/resultados/CO/1/112/154/1761/INT.json,CO.1.112.154.1761,55,1,2019-05-12 23:10:01,Mesa,280,271,100.0,1761,0,3,0,4,64,12,103,40,0,13,0,1,15,16,1,7,1,INT,81.3953,9
1762,https://datosoficiales.com.ar/resultados/CO/1/112/154/1762/INT.json,CO.1.112.154.1762,47,1,2019-05-12 22:30:01,Mesa,266,255,100.0,1762,0,1,0,4,58,7,69,70,1,11,1,0,16,17,0,11,0,INT,76.8786,11
