mesa,url_gob,id_ubicacion,id_publicacion,cant_mesas_procesadas,hora_proceso,clase_ubicacion,cant_votantes,cant_votos_positivos,porcentaje_mesas_procesadas,descripcion_ubicacion,Partido Unión Ciudadana,Vecinalismo Independiente,Movimiento Avanzada Socialista,MST - Nueva Izquierda,Córdoba Cambia,Frente de Izquierda y de los Trabajadores,Hacemos por Córdoba,Unión Cívica Radical,Unite por la Libertad y la Dignidad,Encuentro Vecinal Córdoba,Política Abierta para la Integridad Social (P.A.I.S.),Movimiento de Acción Vecinal,Movimiento Libres del Sur,Voto en BLANCO,Votos IMPUGNADOS,Votos NULOS,Votos RECURRIDOS,cargo,porcentaje_participacion,cant_votos_negativos
1,https://datosoficiales.com.ar/resultados/CO/1/112/1/1/INT.json,CO.1.112.1.1,39,1,2019-05-12 21:50:01,Mesa,229,215,100.0,1,2,2,0,5,49,13,56,50,1,12,1,0,8,16,0,9,5,INT,67.3529,14
2,https://datosoficiales.com.ar/resultados/CO/1/112/1/2/INT.json,CO.1.112.1.2,55,1,2019-05-12 23:10:01,Mesa,214,203,100.0,2,1,1,0,10,47,10,47,51,0,12,0,2,8,14,0,4,7,INT,62.3906,11
3,https://datosoficiales.com.ar/resultados/CO/1/112/1/3/INT.json,CO.1.112.1.3,46,1,2019-05-12 22:25:01,Mesa,205,200,100.0,3,4,3,0,6,54,6,49,38,1,11,0,4,13,11,0,5,0,INT,59.9415,5
4,https://datosoficiales.com.ar/resultados/CO/1/112/1/4/INT.json,CO.1.112.1.4,60,1,2019-05-12 23:35:01,Mesa,217,207,100.0,4,0,2,1,9,56,5,53,43,1,16,1,0,3,17,0,10,0,INT,63.4502,10
5,https://datosoficiales.com.ar/resultados/CO/1/112/1/5/INT.json,CO.1.112.1.5,35,1,2019-05-12 21:30:01,Mesa,231,225,100.0,5,3,2,1,5,55,10,75,39,0,14,1,0,8,12,0,6,0,INT,66.763,6
6,https://datosoficiales.com.ar/resultados/CO/1/112/1/6/INT.json,CO.1.112.1.6,35,1,2019-05-12 21:30:01,Mesa,225,222,100.0,6,3,0,1,2,65,18,38,53,0,13,0,2,12,15,3,0,0,INT,65.5976,3
7,https://datosoficiales.com.ar/resultados/CO/1/112/1/7/INT.json,CO.1.112.1.7,42,1,2019-05-12 22:05:01,Mesa,216,209,100.0,7,4,5,0,8,63,17,48,28,0,15,0,1,8,12,0,3,4,INT,63.1578,7
8651,https://datosoficiales.com.ar/resultados/CO/1/112/1/8651/INT.json,CO.1.112.1.8651,29,1,2019-05-12 21:00:01,Mesa,185,179,100.0,8651,3,2,3,2,23,14,83,17,0,8,0,0,5,19,0,6,0,INT,61.6666,6
8652,https://datosoficiales.com.ar/resultados/CO/1/112/1/8652/INT.json,CO.1.112.1.8652,44,1,2019-05-12 22:15:01,Mesa,191,187,100.0,8652,2,1,0,1,31,6,94,14,0,7,0,0,1,30,0,4,0,INT,63.6666,4
8653,https://datosoficiales.com.ar/resultados/CO/1/112/1/8653/INT.json,CO.1.112.1.8653,26,1,2019-05-12 20:45:01,Mesa,138,132,100.0,8653,1,0,1,2,18,6,77,9,0,1,0,2,3,12,0,6,0,INT,60.7929,6
113,https://datosoficiales.com.ar/resultados/CO/1/112/10/113/INT.json,CO.1.112.10.113,52,1,2019-05-12 22:55:02,Mesa,247,234,100.0,113,1,5,1,6,56,16,73,47,0,13,0,0,9,7,0,2,11,INT,71.3872,13
114,https://datosoficiales.com.ar/resultados/CO/1/112/10/114/INT.json,CO.1.112.10.114,49,1,2019-05-12 22:40:01,Mesa,240,235,100.0,114,3,3,0,10,49,22,68,49,0,14,0,0,8,9,0,5,0,INT,69.7674,5
115,https://datosoficiales.com.ar/resultados/CO/1/112/10/115/INT.json,CO.1.112.10.115,50,1,2019-05-12 22:45:02,Mesa,221,211,100.0,115,4,1,3,4,43,16,65,51,0,9,0,0,7,8,0,5,5,INT,65.5786,10
116,https://datosoficiales.com.ar/resultados/CO/1/112/10/116/INT.json,CO.1.112.10.116,57,1,2019-05-12 23:20:01,Mesa,249,239,100.0,116,4,3,2,4,56,16,60,50,2,16,0,1,11,14,1,9,0,INT,72.5947,10
117,https://datosoficiales.com.ar/resultados/CO/1/112/10/117/INT.json,CO.1.112.10.117,39,1,2019-05-12 21:50:01,Mesa,216,209,100.0,117,2,0,1,5,51,20,59,41,0,13,0,0,12,5,0,7,0,INT,62.9737,7
118,https://datosoficiales.com.ar/resultados/CO/1/112/10/118/INT.json,CO.1.112.10.118,55,1,2019-05-12 23:10:01,Mesa,225,211,100.0,118,6,3,3,7,41,17,59,43,0,14,1,0,8,9,0,13,1,INT,65.2173,14
119,https://datosoficiales.com.ar/resultados/CO/1/112/10/119/INT.json,CO.1.112.10.119,54,1,2019-05-12 23:05:01,Mesa,245,230,100.0,119,5,5,1,4,49,21,57,43,0,15,1,0,14,15,0,15,0,INT,71.4285,15
120,https://datosoficiales.com.ar/resultados/CO/1/112/10/120/INT.json,CO.1.112.10.120,58,1,2019-05-12 23:25:01,Mesa,248,239,100.0,120,1,2,0,5,50,16,74,51,0,12,0,1,9,18,0,6,3,INT,72.5146,9
121,https://datosoficiales.com.ar/resultados/CO/1/112/10/121/INT.json,CO.1.112.10.121,62,1,2019-05-12 23:45:01,Mesa,227,219,100.0,121,1,0,1,7,46,22,55,45,1,16,0,1,12,12,0,8,0,INT,65.7971,8
122,https://datosoficiales.com.ar/resultados/CO/1/112/10/122/INT.json,CO.1.112.10.122,45,1,2019-05-12 22:20:01,Mesa,234,230,100.0,122,1,4,1,6,48,16,62,44,0,19,0,1,21,7,0,1,3,INT,67.826,4
124,https://datosoficiales.com.ar/resultados/CO/1/112/10/124/INT.json,CO.1.112.10.124,93,1,2019-05-13 02:20:01,Mesa,241,230,100.0,124,2,4,0,5,69,6,49,58,0,7,1,0,14,15,0,7,4,INT,69.855,11
125,https://datosoficiales.com.ar/resultados/CO/1/112/10/125/INT.json,CO.1.112.10.125,63,1,2019-05-12 23:50:01,Mesa,230,221,100.0,125,0,0,55,0,47,0,3,22,0,9,50,0,21,14,0,3,6,INT,66.8604,9
1138,https://datosoficiales.com.ar/resultados/CO/1/112/100/1138/INT.json,CO.1.112.100.1138,43,1,2019-05-12 22:10:01,Mesa,229,222,100.0,1138,0,1,0,8,48,14,69,45,0,19,0,2,14,2,0,7,0,INT,66.7638,7
1139,https://datosoficiales.com.ar/resultados/CO/1/112/100/1139/INT.json,CO.1.112.100.1139,36,1,2019-05-12 21:35:02,Mesa,252,248,100.0,1139,1,2,0,6,62,13,83,48,0,15,1,2,13,2,0,4,0,INT,73.9002,4
1140,https://datosoficiales.com.ar/resultados/CO/1/112/100/1140/INT.json,CO.1.112.100.1140,48,1,2019-05-12 22:35:01,Mesa,233,226,100.0,1140,4,3,1,4,54,11,66,38,0,13,0,0,9,23,0,7,0,INT,67.5362,7
1141,https://datosoficiales.com.ar/resultados/CO/1/112/100/1141/INT.json,CO.1.112.100.1141,57,1,2019-05-12 23:20:01,Mesa,246,242,100.0,1141,2,5,2,4,46,19,76,51,0,14,0,0,9,14,0,4,0,INT,71.5116,4
1142,https://datosoficiales.com.ar/resultados/CO/1/112/100/1142/INT.json,CO.1.112.100.1142,61,1,2019-05-12 23:40:01,Mesa,243,231,100.0,1142,3,4,1,6,51,8,73,44,1,15,1,1,6,17,0,12,0,INT,70.2312,12
1143,https://datosoficiales.com.ar/resultados/CO/1/112/100/1143/INT.json,CO.1.112.100.1143,54,1,2019-05-12 23:05:01,Mesa,253,238,100.0,1143,1,3,0,7,44,7,61,33,2,18,11,1,10,40,0,11,4,INT,74.1935,15
1144,https://datosoficiales.com.ar/resultados/CO/1/112/100/1144/INT.json,CO.1.112.100.1144,46,1,2019-05-12 22:25:01,Mesa,243,238,100.0,1144,2,2,1,4,49,11,81,43,1,13,0,2,14,15,0,5,0,INT,70.2312,5
1145,https://datosoficiales.com.ar/resultados/CO/1/112/100/1145/INT.json,CO.1.112.100.1145,39,1,2019-05-12 21:50:01,Mesa,240,230,100.0,1145,2,4,0,8,57,12,77,41,0,7,0,1,11,10,0,10,0,INT,69.9708,10
1146,https://datosoficiales.com.ar/resultados/CO/1/112/100/1146/INT.json,CO.1.112.100.1146,50,1,2019-05-12 22:45:02,Mesa,252,238,100.0,1146,0,4,0,4,62,10,77,46,0,12,1,2,8,12,0,14,0,INT,73.9002,14
1147,https://datosoficiales.com.ar/resultados/CO/1/112/100/1147/INT.json,CO.1.112.100.1147,51,1,2019-05-12 22:50:01,Mesa,243,224,100.0,1147,3,2,1,4,43,10,73,43,0,14,1,1,16,13,0,19,0,INT,70.4347,19
1148,https://datosoficiales.com.ar/resultados/CO/1/112/100/1148/INT.json,CO.1.112.100.1148,55,1,2019-05-12 23:10:01,Mesa,232,225,100.0,1148,1,2,4,3,47,8,81,51,1,7,0,0,11,9,0,7,0,INT,67.2463,7
1149,https://datosoficiales.com.ar/resultados/CO/1/112/100/1149/INT.json,CO.1.112.100.1149,60,1,2019-05-12 23:35:01,Mesa,244,228,100.0,1149,2,2,0,5,58,5,83,36,1,12,0,1,11,12,0,16,0,INT,71.137,16
1150,https://datosoficiales.com.ar/resultados/CO/1/112/100/1150/INT.json,CO.1.112.100.1150,55,1,2019-05-12 23:10:01,Mesa,239,198,100.0,1150,0,4,1,0,44,12,45,41,0,15,0,3,0,33,0,41,0,INT,69.2753,41
1151,https://datosoficiales.com.ar/resultados/CO/1/112/100/1151/INT.json,CO.1.112.100.1151,52,1,2019-05-12 22:55:02,Mesa,239,225,100.0,1151,3,3,0,3,48,15,69,35,2,17,1,0,12,17,0,14,0,INT,70.0879,14
1152,https://datosoficiales.com.ar/resultados/CO/1/112/100/1152/INT.json,CO.1.112.100.1152,60,1,2019-05-12 23:35:01,Mesa,253,244,100.0,1152,2,0,0,2,47,20,93,45,2,8,0,1,9,15,0,8,1,INT,73.9766,9
1153,https://datosoficiales.com.ar/resultados/CO/1/112/100/1153/INT.json,CO.1.112.100.1153,51,1,2019-05-12 22:50:01,Mesa,232,222,100.0,1153,1,1,0,3,54,10,68,34,1,19,1,1,14,15,0,10,0,INT,67.8362,10
1154,https://datosoficiales.com.ar/resultados/CO/1/112/101/1154/INT.json,CO.1.112.101.1154,36,1,2019-05-12 21:35:02,Mesa,224,216,100.0,1154,4,3,1,6,52,5,71,43,0,9,0,1,10,11,0,5,3,INT,66.0766,8
1155,https://datosoficiales.com.ar/resultados/CO/1/112/101/1155/INT.json,CO.1.112.101.1155,47,1,2019-05-12 22:30:01,Mesa,242,232,100.0,1155,2,1,0,5,51,13,69,43,1,15,1,1,17,13,0,9,1,INT,70.3488,10
1156,https://datosoficiales.com.ar/resultados/CO/1/112/101/1156/INT.json,CO.1.112.101.1156,55,1,2019-05-12 23:10:01,Mesa,243,232,100.0,1156,1,4,3,5,44,10,78,53,1,9,2,1,10,11,0,11,0,INT,71.0526,11
1157,https://datosoficiales.com.ar/resultados/CO/1/112/101/1157/INT.json,CO.1.112.101.1157,52,1,2019-05-12 22:55:02,Mesa,249,236,100.0,1157,0,1,0,4,49,14,88,42,0,10,0,1,9,18,0,3,10,INT,73.6686,13
1158,https://datosoficiales.com.ar/resultados/CO/1/112/101/1158/INT.json,CO.1.112.101.1158,65,1,2019-05-13 00:00:01,Mesa,230,218,100.0,1158,0,5,0,0,65,6,71,39,0,8,0,1,12,11,0,12,0,INT,66.8604,12
1159,https://datosoficiales.com.ar/resultados/CO/1/112/101/1159/INT.json,CO.1.112.101.1159,48,1,2019-05-12 22:35:01,Mesa,247,235,100.0,1159,1,2,0,5,54,6,96,38,0,9,1,1,11,11,0,12,0,INT,72.2222,12
1160,https://datosoficiales.com.ar/resultados/CO/1/112/101/1160/INT.json,CO.1.112.101.1160,61,1,2019-05-12 23:40:01,Mesa,241,221,100.0,1160,3,7,1,5,46,10,72,40,1,7,1,0,9,19,0,16,4,INT,70.0581,20
1161,https://datosoficiales.com.ar/resultados/CO/1/112/102/1161/INT.json,CO.1.112.102.1161,48,1,2019-05-12 22:35:01,Mesa,238,234,100.0,1161,0,0,0,3,52,20,68,40,1,18,0,0,5,27,0,4,0,INT,68.9855,4
1162,https://datosoficiales.com.ar/resultados/CO/1/112/102/1162/INT.json,CO.1.112.102.1162,53,1,2019-05-12 23:00:01,Mesa,244,236,100.0,1162,3,3,1,5,51,9,84,49,3,17,0,1,7,3,0,8,0,INT,71.345,8
1163,https://datosoficiales.com.ar/resultados/CO/1/112/102/1163/INT.json,CO.1.112.102.1163,53,1,2019-05-12 23:00:01,Mesa,232,220,100.0,1163,1,3,2,3,55,10,70,39,1,19,0,0,7,10,0,9,3,INT,67.6384,12
1164,https://datosoficiales.com.ar/resultados/CO/1/112/102/1164/INT.json,CO.1.112.102.1164,57,1,2019-05-12 23:20:01,Mesa,240,223,100.0,1164,0,1,1,7,59,12,57,47,0,8,0,0,12,19,0,13,4,INT,69.5652,17
1165,https://datosoficiales.com.ar/resultados/CO/1/112/102/1165/INT.json,CO.1.112.102.1165,53,1,2019-05-12 23:00:01,Mesa,215,210,100.0,1165,1,5,2,0,38,18,86,32,1,12,2,0,9,4,0,5,0,INT,62.6822,5
1166,https://datosoficiales.com.ar/resultados/CO/1/112/102/1166/INT.json,CO.1.112.102.1166,62,1,2019-05-12 23:45:01,Mesa,236,225,100.0,1166,1,2,0,3,53,12,55,53,0,11,1,1,14,19,0,11,0,INT,68.6046,11
1167,https://datosoficiales.com.ar/resultados/CO/1/112/102/1167/INT.json,CO.1.112.102.1167,56,1,2019-05-12 23:15:01,Mesa,250,236,100.0,1167,1,0,0,5,62,13,70,39,0,11,0,1,24,10,0,14,0,INT,72.8862,14
1168,https://datosoficiales.com.ar/resultados/CO/1/112/102/1168/INT.json,CO.1.112.102.1168,60,1,2019-05-12 23:35:01,Mesa,264,252,100.0,1168,2,3,0,2,73,17,80,43,1,9,1,1,6,14,0,10,2,INT,77.1929,12
1169,https://datosoficiales.com.ar/resultados/CO/1/112/103/1169/INT.json,CO.1.112.103.1169,54,1,2019-05-12 23:05:01,Mesa,243,231,100.0,1169,1,2,0,4,56,19,57,55,0,13,0,1,9,14,0,8,4,INT,72.5373,12
1170,https://datosoficiales.com.ar/resultados/CO/1/112/103/1170/INT.json,CO.1.112.103.1170,39,1,2019-05-12 21:50:01,Mesa,238,235,100.0,1170,2,5,1,7,62,16,70,39,0,9,0,0,12,12,0,2,1,INT,70.8333,3
1171,https://datosoficiales.com.ar/resultados/CO/1/112/103/1171/INT.json,CO.1.112.103.1171,52,1,2019-05-12 22:55:02,Mesa,253,242,100.0,1171,2,4,1,5,53,18,63,58,1,14,1,1,5,16,0,0,11,INT,75.5223,11
1172,https://datosoficiales.com.ar/resultados/CO/1/112/103/1172/INT.json,CO.1.112.103.1172,38,1,2019-05-12 21:45:01,Mesa,258,244,100.0,1172,0,2,0,9,53,16,84,35,0,15,1,3,9,17,0,14,0,INT,76.7857,14
1173,https://datosoficiales.com.ar/resultados/CO/1/112/103/1173/INT.json,CO.1.112.103.1173,55,1,2019-05-12 23:10:01,Mesa,252,241,100.0,1173,7,2,0,6,66,10,70,33,1,12,0,3,15,16,0,10,1,INT,75.2238,11
1174,https://datosoficiales.com.ar/resultados/CO/1/112/103/1174/INT.json,CO.1.112.103.1174,50,1,2019-05-12 22:45:02,Mesa,240,231,100.0,1174,3,4,0,5,68,15,71,32,2,8,0,2,7,14,0,9,0,INT,71.2166,9
1175,https://datosoficiales.com.ar/resultados/CO/1/112/103/1175/INT.json,CO.1.112.103.1175,93,1,2019-05-13 02:20:01,Mesa,264,255,100.0,1175,2,5,1,5,78,11,71,45,0,16,0,2,4,15,0,9,0,INT,79.0419,9
1176,https://datosoficiales.com.ar/resultados/CO/1/112/103/1176/INT.json,CO.1.112.103.1176,96,1,2019-05-13 02:35:01,Mesa,241,228,100.0,1176,3,6,1,3,53,8,61,51,1,15,1,0,16,9,0,13,0,INT,71.7261,13
1177,https://datosoficiales.com.ar/resultados/CO/1/112/103/1177/INT.json,CO.1.112.103.1177,48,1,2019-05-12 22:35:01,Mesa,255,248,100.0,1177,2,9,2,2,65,13,73,45,0,15,0,0,14,8,0,7,0,INT,75.6676,7
1178,https://datosoficiales.com.ar/resultados/CO/1/112/103/1178/INT.json,CO.1.112.103.1178,42,1,2019-05-12 22:05:01,Mesa,244,237,100.0,1178,2,5,0,11,79,9,56,44,0,9,1,0,15,6,0,7,0,INT,72.619,7
1179,https://datosoficiales.com.ar/resultados/CO/1/112/103/1179/INT.json,CO.1.112.103.1179,44,1,2019-05-12 22:15:01,Mesa,248,237,100.0,1179,5,4,1,1,53,8,86,46,1,13,0,0,8,11,0,11,0,INT,73.3727,11
1180,https://datosoficiales.com.ar/resultados/CO/1/112/104/1180/INT.json,CO.1.112.104.1180,50,1,2019-05-12 22:45:02,Mesa,247,236,100.0,1180,1,4,2,3,59,14,66,47,0,12,3,1,10,14,0,4,7,INT,73.7313,11
1181,https://datosoficiales.com.ar/resultados/CO/1/112/104/1181/INT.json,CO.1.112.104.1181,51,1,2019-05-12 22:50:01,Mesa,245,230,100.0,1181,0,3,0,4,53,14,75,41,1,8,0,0,16,15,0,10,5,INT,73.1343,15
1182,https://datosoficiales.com.ar/resultados/CO/1/112/104/1182/INT.json,CO.1.112.104.1182,61,1,2019-05-12 23:40:01,Mesa,245,241,100.0,1182,1,4,1,3,67,16,67,51,0,16,0,0,6,9,0,1,3,INT,72.7002,4
1183,https://datosoficiales.com.ar/resultados/CO/1/112/104/1183/INT.json,CO.1.112.104.1183,45,1,2019-05-12 22:20:01,Mesa,232,226,100.0,1183,0,7,0,4,62,23,63,35,0,17,1,0,7,7,0,6,0,INT,68.8427,6
1184,https://datosoficiales.com.ar/resultados/CO/1/112/104/1184/INT.json,CO.1.112.104.1184,52,1,2019-05-12 22:55:02,Mesa,241,231,100.0,1184,0,3,0,4,74,7,55,56,1,8,0,1,13,9,0,3,7,INT,71.5133,10
1185,https://datosoficiales.com.ar/resultados/CO/1/112/104/1185/INT.json,CO.1.112.104.1185,49,1,2019-05-12 22:40:01,Mesa,244,233,100.0,1185,0,5,1,10,61,10,63,51,0,8,0,2,10,12,0,6,5,INT,72.4035,11
1186,https://datosoficiales.com.ar/resultados/CO/1/112/105/1186/INT.json,CO.1.112.105.1186,55,1,2019-05-12 23:10:01,Mesa,247,233,100.0,1186,4,4,2,4,40,13,80,45,0,13,0,0,10,18,0,14,0,INT,71.1815,14
1187,https://datosoficiales.com.ar/resultados/CO/1/112/105/1187/INT.json,CO.1.112.105.1187,44,1,2019-05-12 22:15:01,Mesa,249,231,100.0,1187,0,3,0,5,35,8,102,46,0,15,0,1,7,9,0,17,1,INT,72.1739,18
1188,https://datosoficiales.com.ar/resultados/CO/1/112/105/1188/INT.json,CO.1.112.105.1188,54,1,2019-05-12 23:05:01,Mesa,232,218,100.0,1188,3,1,2,4,37,5,95,31,0,12,0,0,10,18,0,14,0,INT,66.8587,14
1189,https://datosoficiales.com.ar/resultados/CO/1/112/105/1189/INT.json,CO.1.112.105.1189,51,1,2019-05-12 22:50:01,Mesa,216,209,100.0,1189,2,2,0,3,48,8,90,34,0,11,0,1,10,0,0,5,2,INT,62.2478,7
1190,https://datosoficiales.com.ar/resultados/CO/1/112/105/1190/INT.json,CO.1.112.105.1190,48,1,2019-05-12 22:35:01,Mesa,246,240,100.0,1190,1,3,0,6,48,15,74,45,1,18,1,3,7,18,0,5,1,INT,70.8933,6
1191,https://datosoficiales.com.ar/resultados/CO/1/112/105/1191/INT.json,CO.1.112.105.1191,63,1,2019-05-12 23:50:01,Mesa,256,247,100.0,1191,14,5,0,5,48,12,82,44,0,22,0,0,0,15,0,9,0,INT,73.7752,9
1192,https://datosoficiales.com.ar/resultados/CO/1/112/105/1192/INT.json,CO.1.112.105.1192,56,1,2019-05-12 23:15:01,Mesa,245,243,100.0,1192,2,3,1,4,43,18,76,47,0,16,1,2,21,9,0,2,0,INT,70.6051,2
1193,https://datosoficiales.com.ar/resultados/CO/1/112/105/1193/INT.json,CO.1.112.105.1193,39,1,2019-05-12 21:50:01,Mesa,225,209,100.0,1193,0,0,0,1,49,11,94,26,0,4,0,0,6,18,0,16,0,INT,65.4069,16
1194,https://datosoficiales.com.ar/resultados/CO/1/112/105/1194/INT.json,CO.1.112.105.1194,64,1,2019-05-12 23:55:01,Mesa,229,212,100.0,1194,3,1,1,1,34,7,76,40,0,15,1,0,15,18,0,17,0,INT,66.5697,17
1195,https://datosoficiales.com.ar/resultados/CO/1/112/105/1195/INT.json,CO.1.112.105.1195,41,1,2019-05-12 22:00:01,Mesa,251,240,100.0,1195,2,1,2,3,49,6,90,42,0,21,0,0,10,14,0,11,0,INT,73.3918,11
1196,https://datosoficiales.com.ar/resultados/CO/1/112/105/1196/INT.json,CO.1.112.105.1196,42,1,2019-05-12 22:05:01,Mesa,218,205,100.0,1196,2,0,0,6,40,5,71,35,2,13,0,1,12,18,0,13,0,INT,63.0057,13
1197,https://datosoficiales.com.ar/resultados/CO/1/112/105/1197/INT.json,CO.1.112.105.1197,46,1,2019-05-12 22:25:01,Mesa,235,223,100.0,1197,1,3,0,5,32,7,105,29,0,15,0,1,10,15,0,12,0,INT,67.5287,12
1198,https://datosoficiales.com.ar/resultados/CO/1/112/105/1198/INT.json,CO.1.112.105.1198,53,1,2019-05-12 23:00:01,Mesa,220,197,100.0,1198,0,2,0,2,34,13,90,29,0,6,1,0,5,15,1,20,2,INT,63.5838,23
1199,https://datosoficiales.com.ar/resultados/CO/1/112/105/1199/INT.json,CO.1.112.105.1199,62,1,2019-05-12 23:45:01,Mesa,239,226,100.0,1199,1,1,0,4,51,6,76,38,0,10,1,0,14,24,0,13,0,INT,69.2753,13
1200,https://datosoficiales.com.ar/resultados/CO/1/112/106/1200/INT.json,CO.1.112.106.1200,61,1,2019-05-12 23:40:01,Mesa,230,224,100.0,1200,2,4,0,6,49,12,84,28,1,11,0,3,7,17,0,6,0,INT,66.8604,6
1201,https://datosoficiales.com.ar/resultados/CO/1/112/106/1201/INT.json,CO.1.112.106.1201,55,1,2019-05-12 23:10:01,Mesa,231,226,100.0,1201,0,0,2,2,36,9,92,39,0,19,0,1,0,26,0,5,0,INT,66.9565,5
1202,https://datosoficiales.com.ar/resultados/CO/1/112/106/1202/INT.json,CO.1.112.106.1202,56,1,2019-05-12 23:15:01,Mesa,227,217,100.0,1202,2,2,0,3,27,3,93,41,0,14,9,0,4,19,0,1,9,INT,65.6069,10
1203,https://datosoficiales.com.ar/resultados/CO/1/112/106/1203/INT.json,CO.1.112.106.1203,58,1,2019-05-12 23:25:01,Mesa,242,233,100.0,1203,3,0,1,8,44,9,82,39,2,14,1,0,9,21,0,9,0,INT,70.3488,9
1204,https://datosoficiales.com.ar/resultados/CO/1/112/106/1204/INT.json,CO.1.112.106.1204,61,1,2019-05-12 23:40:01,Mesa,245,235,100.0,1204,0,3,2,7,39,18,82,38,0,23,1,0,6,16,0,7,3,INT,70.4022,10
1205,https://datosoficiales.com.ar/resultados/CO/1/112/106/1205/INT.json,CO.1.112.106.1205,37,1,2019-05-12 21:40:01,Mesa,219,211,100.0,1205,1,1,1,4,39,7,90,35,0,10,0,1,5,17,0,8,0,INT,63.8483,8
1206,https://datosoficiales.com.ar/resultados/CO/1/112/106/1206/INT.json,CO.1.112.106.1206,62,1,2019-05-12 23:45:01,Mesa,232,227,100.0,1206,6,2,1,2,49,10,75,48,0,14,0,0,9,11,0,2,3,INT,66.6666,5
1207,https://datosoficiales.com.ar/resultados/CO/1/112/106/1207/INT.json,CO.1.112.106.1207,61,1,2019-05-12 23:40:01,Mesa,232,225,100.0,1207,2,2,0,2,31,8,104,32,1,16,0,1,12,14,0,7,0,INT,68.0351,7
1208,https://datosoficiales.com.ar/resultados/CO/1/112/106/1208/INT.json,CO.1.112.106.1208,60,1,2019-05-12 23:35:01,Mesa,242,219,100.0,1208,2,1,0,3,40,14,93,27,1,12,0,1,7,18,7,9,7,INT,70.3488,23
1209,https://datosoficiales.com.ar/resultados/CO/1/112/106/1209/INT.json,CO.1.112.106.1209,66,1,2019-05-13 00:05:01,Mesa,235,227,100.0,1209,3,0,0,5,48,11,76,29,2,13,1,1,17,21,0,8,0,INT,68.3139,8
1210,https://datosoficiales.com.ar/resultados/CO/1/112/106/1210/INT.json,CO.1.112.106.1210,61,1,2019-05-12 23:40:01,Mesa,236,228,100.0,1210,2,1,0,4,47,12,74,46,2,15,0,0,14,11,0,8,0,INT,68.4057,8
1211,https://datosoficiales.com.ar/resultados/CO/1/112/106/1211/INT.json,CO.1.112.106.1211,53,1,2019-05-12 23:00:01,Mesa,256,250,100.0,1211,2,0,0,6,53,9,67,51,0,10,1,16,14,21,0,5,1,INT,74.2028,6
1212,https://datosoficiales.com.ar/resultados/CO/1/112/106/1212/INT.json,CO.1.112.106.1212,57,1,2019-05-12 23:20:01,Mesa,247,239,100.0,1212,1,2,0,3,38,17,101,38,1,8,0,2,15,13,0,8,0,INT,71.8023,8
1213,https://datosoficiales.com.ar/resultados/CO/1/112/106/1213/INT.json,CO.1.112.106.1213,61,1,2019-05-12 23:40:01,Mesa,232,221,100.0,1213,2,0,1,3,35,5,100,36,0,5,0,0,8,26,0,9,2,INT,67.4418,11
1214,https://datosoficiales.com.ar/resultados/CO/1/112/106/1214/INT.json,CO.1.112.106.1214,55,1,2019-05-12 23:10:01,Mesa,241,227,100.0,1214,0,4,1,9,40,8,81,48,0,13,0,0,4,19,0,14,0,INT,70.2623,14
1215,https://datosoficiales.com.ar/resultados/CO/1/112/106/1215/INT.json,CO.1.112.106.1215,50,1,2019-05-12 22:45:02,Mesa,243,236,100.0,1215,2,1,3,3,41,19,89,45,0,5,0,0,9,19,0,7,0,INT,70.6395,7
1216,https://datosoficiales.com.ar/resultados/CO/1/112/106/1216/INT.json,CO.1.112.106.1216,46,1,2019-05-12 22:25:01,Mesa,228,216,100.0,1216,0,1,1,3,43,9,75,42,1,11,2,0,8,20,0,12,0,INT,66.279,12
1217,https://datosoficiales.com.ar/resultados/CO/1/112/106/1217/INT.json,CO.1.112.106.1217,50,1,2019-05-12 22:45:02,Mesa,231,222,100.0,1217,4,2,0,0,42,13,83,41,0,6,1,0,5,25,0,9,0,INT,66.9565,9
1218,https://datosoficiales.com.ar/resultados/CO/1/112/106/1218/INT.json,CO.1.112.106.1218,46,1,2019-05-12 22:25:01,Mesa,227,218,100.0,1218,0,0,2,5,38,12,80,42,0,13,1,0,12,13,0,9,0,INT,65.4178,9
1219,https://datosoficiales.com.ar/resultados/CO/1/112/107/1219/INT.json,CO.1.112.107.1219,49,1,2019-05-12 22:40:01,Mesa,239,225,100.0,1219,0,3,0,5,42,5,86,43,1,18,0,0,10,12,0,14,0,INT,70.0879,14
1220,https://datosoficiales.com.ar/resultados/CO/1/112/107/1220/INT.json,CO.1.112.107.1220,34,1,2019-05-12 21:25:01,Mesa,236,159,100.0,1220,0,1,0,4,18,10,84,22,0,9,0,0,2,9,0,77,0,INT,68.208,77
1221,https://datosoficiales.com.ar/resultados/CO/1/112/107/1221/INT.json,CO.1.112.107.1221,56,1,2019-05-12 23:15:01,Mesa,234,230,100.0,1221,0,4,0,2,41,16,97,34,0,8,0,0,7,21,0,2,2,INT,67.826,4
1222,https://datosoficiales.com.ar/resultados/CO/1/112/107/1222/INT.json,CO.1.112.107.1222,44,1,2019-05-12 22:15:01,Mesa,195,195,100.0,1222,2,0,2,10,36,7,87,37,0,14,0,0,0,0,0,0,0,INT,56.5217,0
1223,https://datosoficiales.com.ar/resultados/CO/1/112/107/1223/INT.json,CO.1.112.107.1223,56,1,2019-05-12 23:15:01,Mesa,225,220,100.0,1223,3,2,0,5,44,12,92,30,2,2,0,1,3,24,0,4,1,INT,65.4069,5
